,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Does it really have to be Creation VS Evolution?,evolution,support,"Let's think about it. What if it was a little bit of both? God could have created something and it could have evolved from that. We all know that there was evolution. There is solid evidence that evolution has occured.
I am a Catholic. But I don't follow all of the beliefs of Catholicism. First of all, I strongly believe in Evolution.
I would like to know why other people believe so strongly in every word the Bible says. I mean, the Bible tells of Noahs Ark, but if that were true, all the animals would be retarded (same with Adam and Eve). We shouldn't take the Bible as it is, but learn lessons from it. Besides, the Bible also says not to use cotton blends. Palease!",0,1,topic_stance_votes_1
1,Does it really have to be Creation VS Evolution?,evolution,support,"So, which beliefs of Catholicism do you NOT believe? (There is nothing about Catholicism that precludes an acceptance of evolution.)",1,2,topic_stance_votes_1
2,Does it really have to be Creation VS Evolution?,evolution,support,"first of all, as lurch will tell you, evolution is not the belief in the Big bang theory, or abiogenesis, or ape-man transformation. I havent found a word that properly embodies these ideas, but it is not 'evolution' (maybe 'evolism'? :D )
anyway, creation and other differing concepts of the origin of the universe will always be in opposition, simply because they are differing. you cannot accept that God created the world in 6 days and at the same time accept that the world exploded into being over a 15 billion year period",2,3,topic_stance_votes_1
3,Does it really have to be Creation VS Evolution?,evolution,support,"anyway, creation and other differing concepts of the origin of the universe will always be in opposition, simply because they are differing. you cannot accept that God created the world in 6 days and at the same time accept that the world exploded into being over a 15 billion year period 
But that is creationISM, many christians accept the concept that God created the world through natural means and therefore His work can be studied through natural methods (science).",3,4,topic_stance_votes_1
4,Does it really have to be Creation VS Evolution?,evolution,support,"EXACTLY!
By the way - six days where?",4,5,topic_stance_votes_1
5,Does it really have to be Creation VS Evolution?,evolution,support,"I dont know if we're even on the same page...
creation - the idea that God created the world and life in 6 days
non-creation (for want of a better word) - the idea that the universe took 15 billion or so years to form, starting with the big bang event
you cannot accept both
christianity has little to with an acceptance of either, apparently. the discussion is not about christianity
{P.S. I need a word to use for non-creation. if I say 'evolution' Ill get a swarm of people telling me thats not the definition of evolution, and they would be right. is there a word that denotes the big bang, abiogenesis, species progression, etc? in other words, a word that denotes the scientifically defined methods of universal origin?}",5,6,topic_stance_votes_1
6,Does it really have to be Creation VS Evolution?,evolution,support,"Science? I think that's what it is you are defining, in a nutshell. I don't think it would be wise to label science as 'non-creation.'",6,7,topic_stance_votes_1
7,Does it really have to be Creation VS Evolution?,evolution,support,"hey, thanks! I think science is a word that will fit perfectly. and yes, science is non-creation (when I say creation, I mean according to Genesis, i.e. 6-day creation). why didnt I think of that :D
but then again, there are many that consider these theoretical phenomena to not be science at all, but more conjectures and speculations. and even more then-again, there are people that see a correlation between what science says and biblical creation. so maybe science might not be the perfect word...
emoticonXConfused",7,8,topic_stance_votes_1
8,Does it really have to be Creation VS Evolution?,evolution,support,"That's creationism. It is religiously motivated, based on the Bible, and tends to reject reality and scientific investigation.
That could be because creationism has nothing to do with ""theoretical phenomena."" There is no theory involved in creationism. It is based on a literal reading of a book of mythology. To be theoretical, creationism would have to be based on observations of nature that have been verified by testing a prediction that is a consequence of the proposed explanation. Creationism merely rejects and twists reality to conform the the conclusions that were assumed.
No conjecture or speculation. It is dogma. Usually creationism falls back on miracle and magic.
Now if you are looking for one word that encompasses everything that creationism denies, science might be the word. Creationism requires either scientific illiteracy or intentional ignorance. Creationism arose out of the 7th Day Adventist/Fundamentalist Christian reaction to the reality that science was discovering. Way back in the early 1800s Christian scientists looking for evidence of the flood found that there wasn't any. They reached many conflicting conclusions from repeated creations, gap creations, and old earth with mankind created last, a series of floods with Noah's flood being local and last, etc. Christian fundamentalism was a late 1800s movement that stated the fundamentals of what they thought should be Christainity. It is important to realize that fundamentalism was not a ""return"" to fundamentals, but a statment of a new sect that separated from the more traditional Christian sects. In the early 1900s, George McCready Price attempted to defend the views of the prophetess of the 7th Day Adventist Church and in doing so developed flood geology. Without any scientific training and using Ellen G. White's view of the Bible as a basis, Price attempted to explain all geological evidence as the result of the flood. From this beginning Henry Morris (who failed to credit Price for any of the ideas he used) developed one version of modern flood geology.
Essentially, to be a creationist one must reject the most basic theories of all of the sciences from cosmology, astronomy, astrophysics, nuclear physics, geology, biology, etc.",8,9,topic_stance_votes_1
9,Does it really have to be Creation VS Evolution?,evolution,support,"Hey man, speak for yourself. I openly embrace both. It's not even hard for me........",6,10,topic_stance_votes_1
