,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Evidence Against Creation,evolution,support,"From my speculation, this topic is full of people trying to either prove or disprove evolution. Almost no one ever tries to give evidence against creation. So, what is it?",0,1,topic_stance_votes_2
1,Evidence Against Creation,evolution,attack,"In my opinion there is no need. The creation story gives off it's own bad odor. I would rather focus my attention towards the part that actually makes sense and can be backed by tangible evidence. I am happy to tell you about what I believe and why I believe it, but will not tell you why you should not believe in something else. You can lead a horse to the Primordial Soup...",1,2,topic_stance_votes_1
2,Evidence Against Creation,evolution,attack,"Perhaps you should learn to check your facts.
http://www.4forums.com/political/creation-intelligent-design-vs-evolution/8816-literal-flood-scientifically-possible.html
And unlike you, evolution can stand on its own merits, where creationism cannot. There have been at least four threads asking literal creationists to argue the merits of their belief. They can't do it. Sport even admitted he can't provide proof for his belief. 
Creationism derives its legitimacy from a false dichotomy. If evolution is false, then literal genesis is correct. That is beyond asinine if you understand anything about history, other religions and science.",1,3,topic_stance_votes_1
3,Evidence Against Creation,evolution,attack,"I didn't mean literal Genesis. I just wonder if there is any proof against God himself or that he created the universe and everything in it, even if that means that he created evolution. Is it actually impossible for God to exist?",3,4,topic_stance_votes_2
4,Evidence Against Creation,evolution,attack,"proof for or against god's influence in the creation of the world is so elusive mainly because the definition and scope of what creationists claim creation is keeps changing. while at one time creationists would strongly defend a literal interpretation of genesis, lately god's role has been dramatically reduced to the one that started and caused the big bang. similarly, rather than god forming man literally from cla and breathing life into a clay body to form a living human, god has been reduced to the ""guiding force"" that caused man to emerge through evolution from lesser developed primates. arguing against a case that keeps shifting like this is both difficult and frustrating
before you can even begin such a debate, you need to first settle on a conclusive position of what creation is and is not",4,5,topic_stance_votes_1
5,Evidence Against Creation,evolution,attack,"Defining that creationism is the belief that God created the universe and everything in it, is there any proof against God?",5,6,topic_stance_votes_2
6,Evidence Against Creation,evolution,attack,"No. There's none against the Tooth Fairy either.
You make the usual burden of proof error. Declaring that god created the universe is a positive claim; the burden of evidence lies on the person making that claim. Sadly (for you at least) there is none.",6,7,topic_stance_votes_1
7,Evidence Against Creation,evolution,support,"We don't need to disprove the god of Abraham. His existence is so improbable, because he would have to be vastly more complex than the universe and its contents to design such a thing in the first place, let alone run it and communicate personally with each of its inhabitants, that it's even more of a problem to figure out where this god came from than the universe itself.
Poor old Fred Hoyle compared evolution to a hurricane blowing through a junkyard assembling a Boeing 747. This Designer god is the Ultimate 747. He's so improbable, using the ID Creationists' own ""logic"", it makes no sense to spend any time wondering whether he exists or not, let alone a split second whoopin' an' a'hollerin' an' worshippin' an' praisin'.
What you're looking for is a simple solution to the problem, and a god with all the attributes Christians want in one is anything but simple.",7,8,topic_stance_votes_1
8,Evidence Against Creation,evolution,attack,"Then you should have specificied. 
That's a different animal. Many people here believe in some form of theistic evolution. What we all disagree on is the validity of Literal Genesis. 
Proving God belongs in the religion section. Most of the people trying to disprove God are rarely present here for a reason: it's a different subject.",4,9,topic_stance_votes_1
9,Evidence Against Creation,evolution,attack,"When creationism is defined in such an impotent way, the answer is no. Specific postulations (e.g. young earth) can be disproved (e.g. multiple dating methods), but ""that God created the universe and everything in it"" is a postulation 100% devoid of predictive power: it tells us nothing about the universe. That standpoint allows for absolutely any observation to be an incorporated part of God's universe. For example, if an arrangement of plants happened to spell out, ""There is no God,"" then this brand of creationism simply says, ""God made the universe so that this could/would happen.""
The problem, as johnhanks points out, is you can use the same argument using the tooth fairy. Or gremlins. Or hobgoblins. Or me. Do you have any proof that I didn't create the universe?
As o_c points out, your alleged goal here makes the appropriate forum for this thread the Religion forum.",6,10,topic_stance_votes_1
10,Evidence Against Creation,evolution,support,Go Hobgoblins! They rule! I'm voting on them. Or magic space pandas...emoticonXGood,10,11,topic_stance_votes_1
11,Evidence Against Creation,evolution,attack,"The case is worse than you might imagine. Not only is there no evidence against god, there is no evidence for him either. It's similar to the tooth fairy. Generally, when there is no evidence for or against the existence of something, we just assume that it doesn't exist until some evidence is presented.",6,12,topic_stance_votes_1
12,Evidence Against Creation,evolution,support,same with RMNS.,7,13,topic_stance_votes_1
13,Evidence Against Creation,evolution,attack,"again, this doesnt solve the problem because both a literalist and allegorical cover this definition, but in very different ways. literal genesis goes into details about the procedure and duration of god creating the universe, while the science-influenced one reduces god's crateion act to simply being the force that formed the singularity that set off the big bang and the fairly chaotic series of events that eventually became our universe. also, according to the literalist interpretation, god was very hands-on and meticulous in the details and sequence of the creation, and in the alternative interpretation god is more pressing a button as it were and sitting back to monitor the process without any more personal influence or interference. so in my mind the definition isnt specific enough, because either scenario requires different discussions to explore them",6,14,topic_stance_votes_1
14,Evidence Against Creation,evolution,support,"Hey, SS is catching on! There really is no evidence against RMNS. The difference is that there is evidence for it...",13,15,topic_stance_votes_1
15,Evidence Against Creation,evolution,attack,"Wow, that was really lame.
Thank you all for your answers.",15,16,topic_stance_votes_2
16,Evidence Against Creation,evolution,attack,"Sometimes, you have to fight fire with fire. Glad you noticed.",16,17,topic_stance_votes_1
17,Evidence Against Creation,evolution,attack,"providing proof for anything is easy provided that the thing you are trying to prove is properly defined. i remember a past discussion where a student was challenged by his professor to prove that wind exists. the student couldnt articulate the proof, even though he strongly believed that wind exists, could experience the effect of wind, and could identify the concept of wind if someone mentioned it. so why wasnt he able to provide proof?
i replied to the discussion: wind is defined as the movement of air. air moves, therefore wind exists. it was that simple
the problem is that theres no definition of god",16,18,topic_stance_votes_1
18,Evidence Against Creation,evolution,attack,"http://www.google.com/search?hl=en&r...ition&ct=title
My definition: noun, proper--the creator of the universe and everything in it; the trinity; our savior",18,19,topic_stance_votes_2
19,Evidence Against Creation,evolution,attack,Nutcase. What a waste of energy.,19,20,topic_stance_votes_1
