,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Finding Darwin's God,evolution,support,"I've recently finished reading a book entitled ""Finding Darwin's God"" by Kenneth Miller, one of today's better known ""theistic evolutionists"". 
Between the stark contrasts of Godless evolution and Christianity, his view seems to claim representation of middle ground. I'm not sure just how much variation there is in the theistic evolutionary position - that is, if theistic evolutionists disagree among themselves on any basic points, but I hope to learn that in this discussion.
I'm as passionate as anyone in believing that people have a right to any worldview they wish, and I have no doubt that most theistic evolutionists are sincere in their beliefs, but after reading Miller's book, I find him amazingly short on knowledge of the basics of Christianity. Another theistic evolutionist that I would consider to be sincere could easily have the same ignorance of the Bible as Miller, but the difference is that Miller wrote a book attempting to compare the two (evolution vs. Christianity) and he has no excuse for being largely uninformed on one of the two subjects that he's trying to compare. 
Concerning the basic differences in the evolution vs. creation debate, Miller makes this statement at the beginning of chapter 8 - I agree with it - it goes along with what I see on these forums;
I believe that's true, and as a ""believer"" (creationist), here is what is hard to understand about that; In Matthew, 12:30, Jesus says ""He who is not with me is against me, and he who does not gather with me scatters"". It is safe to say that both creationists and theistic evolutionists would accept that statement from Jesus, and would seek to be ""with"" him, while agnostic and atheists would consider themselves ""not with"" him. Yet theistic evolutionists are comfortable to (usually politically) be ""with"" agnostics and atheists, and separate themselves from creationists. If they're genuine Christians, knowing about the warnings in the Bible about false teachings, how can they be comfortable with that?
Miller laments in several places throughout the book that atheists use evolution as a weapon against religion, and that it shouldn't be that way - that it causes more strife between the two than should exist. 
Then there was this one, the most substantial analyzation of philosophy associated with evolution in the whole book;
The reason his sentiments confirm the worst fears of creationists isn't because Lewontin alone has those sentiments, it's because creationists can clearly see those sentiments in the NY Times editorial board, CNN, ABC, Dan Rather, Handgun Control, The Sierra Club - the list is almost endless. Miller continues;
His mistake here, is that evolution isn't any of those social moral things because it shouldn't be. Yet he clearly shows, from Lewontin's words, that it IS. Why doesn't he make any attempt to distinguish ideals from realities? They can be worlds apart, and in this case, they are. We don't make decisions based on how things should be, we make them based on how things ARE. Whether they're personal, day to day decisions, or permanent political decisions. We have to make political decisions about evolution based on how best selling authors like Richard Dawkins USE IT to make themselves ""intellectually fulfilled atheists"". If Miller knows anything about Matthew 12:30, why is this not important to him? If Miller is genuinely disturbed about ""atheists in the scientific community who routinely enlist the material findings of evolutionary biology in support of their own philosophical pronouncements"", why doesn't he distance himself from them, in political matters? He joined them in the recent Dover case, and he has in many others. 
There's little question that Miller is an excellent biologist. But from the bottom of page 239, we see an example of his faith;
But wait a minute! Hasn't science found that it's scientifically impossible for Jesus to be born of a virgin - no Y-chromosome? Why is he willing to forfeit science and accept the Bible in that regard, and forfeit the Bible in so many other respects? Why is it okay for him to accept the virgin birth of Christ, and riducule anyone who believes in the creation of the first man, Adam? If God could handle the Y-chromosome, couldn't God also handle creating the first, fully formed man? He calls Adam ""fictional"" on page 5. It becomes more and more clear why atheists are comfortable with theistic evolution. If there was no Adam, there was no original sin, and no genealogy as described in the book of Genesis, only monkeys. Except for his amazing exception to science in the virgin birth of Jesus, he seems to allow evolutionistic pronouncements to have priority over Biblical statements. Then ALL the basics of Christianity, the nature of God and central New Testament teachings, including the way the sinner Adam (one man)and the Savior Jesus (one man) are linked together in Romans 5, 16-18, are trivialized just the way atheists love. No wonder they're so comfortable with theistic evolution!
On the bottom of page 235, Miller's comment about ""just about any preacher I have had the patience to listen too....."" speaks volumes - his cluelessness about original sin and many other things about Christianity shows he hasn't had patience to listen to too many. But patience doesn't seem to be a factor when it comes to his enthusiasm for Darwin's works. He finishes the book with ""What kind of God do I believe in? The answer is in these words. I believe in Darwin's God."" 
Sorry folks. It's going to take more than a herd of angry atheists to convince me that he's anything but a phony. I hope this thread gets some civilized responses.",0,1,topic_stance_votes_2
1,Finding Darwin's God,evolution,attack,"Does this mean it is un-Christian not to refuse to “be with” atheists and agnostics, Jews and Muslims, or Hindus and Native Americans in the work place? There’s really no line drawn by that verse.
Because the NY Times, CNN, ABC, Dan Rather, and Handgun Control are all atheist-lead and anti-Christianity. Yeah.
He clearly shows that Lewontin thinks it is. Lewontin also thinks there’s no such thing as God. That doesn’t make him right.
That’s certainly not the way most governments work.
WHAT? Does this work both ways? Do we also have to make political decisions about religion based on how celebrity Christians like Fred Phelps use it to bash homosexuality?
1.) The Dover Case had nothing to do with atheism.
2.) He HAS distanced himself from “them.” I’ve already shown you the blog by PZ Meyers in which Miller is attacked for straying away from his and Dawkins’s atheist agendas.
You’ve overlooked what really isn’t much of a contradiction. There’s evidence against a World Flood, and there’s no evidence for it. All God had to do create Jesus was poof him into Mary’s womb. If the Great Flood really did occur, that means God poofed all the evidence of it away and poofed in its place evidence that contradicts it.
It certainly could; but again, this turns God into a deceiver who actually uses scientific evidence to trick people.
Because the whole point of disproving Adam is to eliminate the idea of personal sin. Yep, that’s exactly why I’ve always disliked the Adam and Eve tale. Never mind the colossus of contradictory evidence—it’s all about making sure that vile idea of personal sin goes up in smoke with the fable itself.
Please point out where Miller says he rejects the idea of Personal Sin. Happy quote mining.
He doesn’t even use the words personal sin. You can’t possibly know that he rejects it.
Fine. Consider him a phony. Was John Paul II also a phony?",1,2,topic_stance_votes_1
2,Finding Darwin's God,evolution,attack,"But Miller is with Jesus (and by extension, you): he says that God exists and that Christianity is true. Or, if you insist that he's against you, you're left with this conundrum: You call Miller and theistic evolutionists incorrect, and he calls you and anti-evolutionists incorrect; why is your position any more logical than his?
Regarding your citation about atheists using evolutionary findings to support their concepts, you omit the remainder of the paragraph. Shame on you, marc, for your quote mine. Miller clearly continues with ""philosophical pronouncements"" that many atheists do not forward. Over the following three paragraphs, he examines a single philosophical insinuation -- not a plethora of them -- and then moves beyond ""atheistic philosophical pronouncements.""
Good, I was afraid we'd get through a post without mentioning the evil conspiracy. But let's clear something up: You voluntarily started the citation after Lewontin's quote, preventing those without the book from seeing what Lewontin actually said. Here's what you left out, from the top of page 190: 
God forbid we allow people the power to discover the truth! That would just be too much, wouldn't it marc? Let's shove the Bible in their faces and make sure they know it's the only source of information...
No, Miller has it right when he says evolution really isn't any of those things. Miller's mistake is that he misinterprets Lewontin. Lewontin is saying to give people the power to discover truth by providing the evidence and removing the a priori assumptions about the world. Notice that Lewontin is talking about being ""free,"" not correct.
We have to, marc says. We also have to ignore Miller's book, right? Get real. Put a hold on your whiny diatribe and focus on the book.
He did distance himself from them by writing the book you allegedly just read. And unless you can show me evidence that many of the Kitzmiller plaintiff's witnesses use evolutionary theory to promote their own atheistic ""philosophical pronouncements,"" I'm comfortable with believing that you are once again full of XXXX. For crying out loud, many of the plaintiffs were Christians!
I won't try to explain this, but anybody who has the book can read pages 240-243 to see what marc is once again omitting. Miller continues by explaining that he feels God's interactions with the world are few and far between because they are strategically placed, and he puts it in a context than any believer has surely heard, believed, and repeated dozens of times: We don't see huge Godly magic tricks because ""God doesn't work that way."" When I ask for an obvious sign, like my keyboard floating before my eyes, and it doesn't happen, the excuse I hear is that ""God doesn't work that way."" Now, all of a sudden, marc has a problem with that explanation. Go figure.
Miller isn't saying that God couldn't, he's saying that God didn't. In fact, he says so explicitly on page 290:
In other words, marc, his understanding isn't as undeveloped and limited as yours.
Maybe because he's Catholic and is used to priests instead of fundie sects led by preachers?
So you think he's really an atheist? No, you disagree with him on technicalities of your religion, which you'd do with billions of other Christians. Are they all phonies, too?
ETA: Wow, Collin had some damn good points, especially PZ's chiding and JPII. Well done, Collin.",1,3,topic_stance_votes_1
3,Finding Darwin's God,evolution,support,"To me, ""Theistic evolutionists"" is an extreme contradiction. I mean, either you have faith that the Bible is the true word of God or you don't. I don't see how you can pick and choose what you care to believe out of the Bible. How can one believe in the miracle of Jesus' birth and resurrection yet not believe that Adam and Eve were real people? I find it a contradiction to somehow believe that God is great enough to create the universe, yet He somehow needed billions of years to do so. If God is all-powerful, then His words should be all that's needed. To me, the world is proof that God is all-powerful. The beauty and complexity is just staggering. (if all the DNA in the human body was stretched out it would circle the moon 6,000 times!)
http://www.ba-education.demon.co.uk/...ience/dna.html",1,4,topic_stance_votes_2
4,Finding Darwin's God,evolution,attack,"Amen, brother. 'Course, on the other hand, how can you disbelieve one without disbelieving the other? Seems to me you have a perfect symmetry here.
Once again, bro, amen. So, what did it need? A trillionth of a microsecond? A trillionth of that? Hang on - what's that you're saying? Six days? SIX DAYS?
Sorry, bro, but a god that needs six whole days to complete creation is pretty much as feeble - certainly as time-limited - as one who needs billions of years. Relatively speaking, of course. Any good, red-blooded all-Amurcan god woulda created the universe in an instant. Six days? What're you, some kinda commie atheist or sumpn?",4,5,topic_stance_votes_1
5,Finding Darwin's God,evolution,attack,"You do it all the time. How many people have you not stoned for working on the Sabbath?
If you had bothered to read (but why would you start now?), you'd have seen that Miller doesn't think that God ""needed"" billions of years. Not that johnhanks's point doesn't make your argument look even more stupid...",4,6,topic_stance_votes_1
6,Finding Darwin's God,evolution,attack,"To be honest, I think it probably wouldn't. I think it would sort of lie on the lab floor in a huge messy heap, while everyone tried to figure out how to get it back in.",4,7,topic_stance_votes_1
7,Finding Darwin's God,evolution,attack,"Just as you are uninformed on the other subject?
I honestly believe that is the only reason you don't at least partially accept evolution.
Whose definition of ""false teachings?"" Yours or theirs?
Evolution isn't much of a weapon. Occam's razor is (as well as other logical arguments).
I will repeat a question I asked before: how could there be a benevolent, omnipotent god?
Evolution is really about science. Belief, power, and social control are irrelevant.
As I said before, there are many arguments that are more relevant to the religion debate. Evolution appears to be the most obvious to fundamentalists, though.
So everyone thinks that ""evolutionists"" should seize power or something? If that is true, it is because evolution is very widely accepted.
So Lewontin is the person who determines the opinion of the general public or something?
Or both, right?
Does it matter what they make themselves? People make decisions on a subject based on their beliefs. Their beliefs don't change easily.
Dawkin's arguments probably don't make a difference to your political decisions, and they don't make a difference to mine.
He stands with them on the evidence, but he doesn't believe that the evidence involves philosophy.
Good questions. I agree that this logic is somewhat flawed (unless quote mined). God could have made Adam and Eve. He could then have planted evidence that life evolved to this point. The miracle could have happened, too, in much the same way.
The catch is that they probably didn't happen (Occam's razor).
Actually, you could probably make your point better if you referred to a ""theistic evolutionist"" who rejected all creation stories (and other history) in the bible.
As for your point itself, it is fairly correct (in my opinion). Theistic evolution makes no assertions that contradict either evolutionary theory or the teachings of the bible (morals, etc.). This presents no problems for atheistic evolutionists.
A phony what? Theist?
I think he believes in god; he just doesn't interpret the bible literally.",1,8,topic_stance_votes_1
8,Finding Darwin's God,evolution,attack,"Your arrogance is astounding. 
Christanity is not synonymous with religion or a belief in a diety. I see you have failed to post on the thread asking how evolution is atheistic despite the numerous faithful and religions that accept evolution. 
Plus you are denying the natural world of God, which in certain angle is blasphemy.",4,9,topic_stance_votes_1
9,Finding Darwin's God,evolution,attack,"You'd have to have a basic knowledge of the entire Bible to understand that it doesn't mean physically ""with"", whether in the workplace, or any place in our daily routines. Especially in these days where fuzzy middle ground between Biblical Christianity and absolute atheism grows and grows, Matthew 12:30 has to do with one's perception and recoginition of life's purpose, the use of moral discernment, the understanding of matters which require us to distinguish between good and bad, true and false, right and wrong. It's un-Christian to ignore Romans, 5: 16-18, for example, when writing a book attempting to ""search for common ground"" between God and evolution. 
What Lewontin thinks is irrelevent. If Lewontin, a well known evolutionist, and many other well known evolutionists ARE USING evolution as a weapon against Christianity and for atheism, the evolution IS RELATED TO atheism. 
I agree. Most governments are too big and too intrusive, and government tends to decide what ""should be"", representing itself more than the people it is supposed to represent.
No, as more and more ACLU inspired court decisions happen, it grows increasingly one way. When church and state are separated, atheism and state are combined. 
It was a media circus, and had plenty to do with the establishment clause of the first amendment. 
That one blog is a very lopsided comparison to the many examples of Miller siding with them in this book. 
That's the atheist worldview. If you check creationist websites, you find claims of evidence for the flood, with no evidence against it. Is it completely automatic that theistic evolution accepts the atheist position? 
Does the theistic evolutionist position agree with atheism because of the number of ""poofs""? It's too bad theistic evolution has no church - no doctrine, etc. I'd like to know what criteria they have for determining what miracles they choose to accept. Is it a ""poof"" count? One poof, and theistic evolutionists are okay with creationists, but multiple poofs put them shoulder to shoulder with atheists? 
God does not require us to accept scientific ""evidence"" that is often put fourth by false teachers that he warned us about. 
That's it, you've got it. Atheism doesn't like the idea of original sin, so came the intense search for ""contradictory evidence"" in the Adam and Eve description. Theistic evolutionists seem okay with it. 
Where do you get the word ""personal""? The word is ""original"". The book doesn't address it at all, this book written by a ""Christian"" who claims to be attempting to find common ground between God and evolution.
Neither do I - you pulled the word ""personal"" out of thin air. He doesn't use the words ""original sin"" anywhere that I noticed. The word ""sin"" doesn't appear in the index. He did use it a time or two, but not in any kind of deep, meaningful way. It's a word that is central in Christianity. 
If you had a book by a creationist who claimed to compare evolution and Christianity, and spent almost the entire book searching scripture and ignoring evolution, would you come to the conclusion that he rejects evolution? 
Did John Paul II claim the Adam and Eve description to be a fairy tale? Vatican approved link please.",2,10,topic_stance_votes_2
10,Finding Darwin's God,evolution,support,"No, the reason is because the Bible tells him that the Bible has all the answers and is never wrong but doesn't describe evolution.
See my post above, Hi. marc ignores fundamentals of Miller's beliefs that he clearly spells out in trying to push his anti-Miller argument.
As I pointed out above, marc really means a phony Christian, which still leaves him with Miller as a theistic evolutionist. So really, marc can assassinate Miller's character regarding being a True Christian™ all day, but he's still stuck with a prominent theistic evolutionist being a thorn in his side. Or at least, it would be if not for marc's willful ignorance; remember, to marc, if one isn't a Christian, Jew, or Muslim, that person is an atheist.",8,11,topic_stance_votes_1
11,Finding Darwin's God,evolution,attack,"Because his, as a Christian, doesn't follow the Christian Bible to anywhere near the extent that mine does.
""Quote mine"" - looks like that will be a common acusation here. If I keep things concise and readable, I'm quote mining. That quote wasn't about atheists using evolutionary findings to support their concepts, it was about atheists being comfortable with theistic evolution, far more than ""believers"" (creationists) 
And that didn't have a thing to do with my point. 
Again, it was irrelevent to my point. Atheists believe the only source of truth is secular - it goes without saying. 
No, Lewontin didn't say to give people the power to discover the truth, he's saying to give elites like him the authority to point them to ""correct"" sources of truth. Read note #47 for chapter 6. Miller didn't misinterpret him at all. In note #47, Lewontin even mentioned the NY Times!
Because there are no ACLU lawsuits when Dawkin's book is required reading in public schools. We have to more and more, as atheism is established. 
It's a deal, if you'll put a hold on lecturing me about reading comprension as you ignore very relevant notes in the rear of the book. 
The one where he bragged about defeating Henry Morris, a Christian? (pp 172, 173)
Sure they were, Christians are always opposing Christianity! All they have to do is claim to be a Christian, and there's no way they could be a false teacher!
And that's all irrelevent, because pages 240-243 concern what happens in the world today, not what happened concerning creation. His feelings about God's interactions with the world today would be different if he had a basic knowledge of the Bible. 
Even though the Bible says God did. His understanding of the Bible is very undeveloped and limited. 
So you're implying that when he made his snide little comment about ""preachers"", he wasn't referring to priests? I've seen it all now. emoticonXBanghead 
As I said, I hope to learn if all theistic evolution does not believe in original sin. I'd like to know if all Catholics believe the creation story is nothing but a fairy tale.",3,12,topic_stance_votes_2
12,Finding Darwin's God,evolution,attack,"Yet, marc just allegedly read a book by a guy who uses evolution as a tool for promoting Christianity, so evolution ""IS RELATED TO"" Christianity.
If marc would rather continue his ridiculous assertion that Miller really isn't a Christian, then we can simply switch out ""Christianity"" with ""theism,"" and evolution ""IS RELATED TO"" theism. Either way, this claim of marc's clearly defeats itself.
For those who missed it, marc doesn't understand that secularism isn't the same thing as atheism. (He also completely dodged Collin's point here, as was expected.)
So the Establishment Clause was included to promote atheism, eh?
So it's the blog's fault that Miller sided with the creationists. Right-o, marc. (I suspect you haven't even read the blog entry in question; I'd be surprised if you've read more than a paragraph of PZ's blog.. ever.)
Bogus claims of evidence for the flood, yes. Check it out yourself. And why would creationist websites present evidence against the flood?
Of course, you could always check in with the ASA, a Christian organization, about their thoughts on the flood. But then, I guess you'd just call those God-worshipping Bible readers a bunch of evil atheists, wouldn't you?
It's too bad you're equating theistic evolution with an entire religion. It makes you look even more clueless. It's like whining that there's no specific church for Noachian flood believers.
Good show on putting the word evidence in quotes. We know your view of ""evidence"" already: If you like it, it's evidence; if you don't like it, it's ""evidence."" You can't get much more circular.
Now there's a stupid assertion... Atheism doesn't give a fat fundie's XXX about original sin.
Oh, so now you admit that you realize that the book isn't an exhaustive review of his entire belief system. Earlier you wanted to use lack of information against him...
Did you ever answer a simple question without a pathetic attempt at evasion?
I didn't think so.",10,13,topic_stance_votes_1
13,Finding Darwin's God,evolution,attack,"You believe that your interpretation of the Christian Bible is more correct than his, and he believes that his interpretation of the Christian Bible is more correct than yours. This is quite simple, but that's never really helped you see the problem before...
Yeesh. Even when I spell it out, he still can't keep it straight.
No, marc, you're looking at the wrong quote. Try reading what I write.
Yes, you can expect accusations of quote mining to be common when you commonly quote mine. Say, do you think these two things could possibly be related?
""Concise and readable"" takes a backseat to accurate. As I said, Miller overemphasizes views outside the mainstream of atheism and tries to paint all of atheism with the same brush. In fact, he picks a single atheist to spend three paragraphs on, then moves past his exaggerated claim. And with good reason.
marc's impeccable reading comprehension strikes again. marc thinks I was responding to a different point, despite the clear explanation of his ""citation about atheists using evolutionary findings to support their concepts.""
I figure it's his latest attempt at a dodge. Ignorance and incomprehensible babbling has gotten old to him, apparently.
Considering atheists don't believe in the supernatural, there's nothing else left. Now tell me how your truism actually means anything.
Lewontin did not say to forbid access to the Bible or other texts. You simply assume that he said that because you want to build as much of a strawman as you possibly can. See, if you had just quoted Lewontin instead of trying to censor his words, maybe you would have understood. ... Then again, probably not. I keep forgetting that your Persecution switch is fused in the ""on"" position.
Yes, Lewontin mentions the New York Times... the home furnishing supplement of the New York Times, in metaphoric comparison to the stage set of The Honeymooners. But you don't have a problem with your blatant misrepresentation, do you? No, no, anything to brainwash the kiddies and advance your delusion of massive conspiracy...
If Miller truly does understand Lewontin's point, he does a pisspoor job of explaining it. Lewontin says to eliminate the irrational and employ the intellectual. Frankly, I see nothing wrong with this; why do you?
The best case you'll ever be able to make regarding Lewontin's claims in this book is that he believes that a certain path to truth is the most effective. You claim that your path to truth is the most effective. Once again, we have no reason to believe either one of you over the other based on these statements alone.
Which Dawkins books that promote atheism (and by atheism, I mean atheism, not evolution) are required reading in public schools? Cite specific instances and include evidence that the ACLU rejected the cases.
This coming from the person who omitted so much that I had to elaborate on and quote from the book multiple times? No thanks, I'd rather make fun of your whining and your incomprehensible comprehension.
Oh, you didn't read the part where he distanced himself from atheism? The one where he explained that evolution is compatible with theism? I guess you missed it... It was only, you know, the vast majority of the book.
Oh, good, I get to do this again! They're not Christians, just like Judge Jones isn't a Lutheran. (Your foot should still be in your mouth over that one, but you never learn.) They're all phonies, aren't they, marc? Lucky for marc, he can accurately assess people's belief systems without knowing the slightest thing about their beliefs. But I have this ""power,"" too:
marc is an atheist. Sure, he says all this fundie Christian stuff, but he's really an atheist. I know it in my heart because my own belief system, infallible and based upon the teachings of God himself, tells me so. I know, because I know Christians, and marc's not a Christian. He's just a big phony.
And there you go... atheist. Clearly, I've correctly labeled you, and you are nothing but a false teacher.
Pathetic, marc. Absolutely, positively pathetic.
In other words, marc has absolutely no resolution to this conundrum except to leave us with this oh-so-powerful exchange:
marc [about Miller]: ""He'd think differently if he interpreted the Bible the same way I do.""
Miller [about marc]: ""He'd think differently if he interpreted the Bible the same way I do.""
*ahem*....
marc [about Miller]: ""He'd think differently if he interpreted the Bible the same way I do.""
Miller [about marc]: ""He'd think differently if he interpreted the Bible the same way I do.""
Yes, I'd speculate that he doesn't have such trouble ""stomaching"" priests. After all, he shares their beliefs, and not those of preachers of other (e.g. Protestant) sects, many of whom refuse to recognize Catholicism as truly Christian...
Keep on diggin', marc. I love helping you reach new lows.",12,14,topic_stance_votes_1
14,Finding Darwin's God,evolution,support,"Correction: If one isn't a fundementalist, literal christian, jew or muslim, then marc considers them a atheist. 
He's never going to deal with the fact that he's quite wrong on that subject. It's obvious to everyone that he's constantly avoiding it even when asked point blank several times. A sign of argumental failure is constant avoidance of a simple question.",11,15,topic_stance_votes_1
15,Finding Darwin's God,evolution,support,"Quite right. My mistake.
Once again, quite right...",15,16,topic_stance_votes_1
16,Finding Darwin's God,evolution,attack,"Yes, that's what he is saying. It seems that in your small, closeted little world of ignorance you aren't aware that a Roman Catholic would never refer to a priest as a preacher. Miller was talking about the ministers of the non-Eucharistic protestant sects, like yours, that rely more on words than deeds.
However, original sin is a basic tenet of Catholicism. Your failure to know that is yet another sign of your ignorance. In fact, the source of your concept of original sin is Roman Catholicism, probably through several other invented religions.
Where did you ever get that idea. Yet one more example of your limited understanding of Christianity. Evolution is science while the concept of original sin is religion. There is no connection.
No. I actually knew a Roman Catholic YEC. It shocked me. However, most Catholics do realize that Genesis is mythology. They are more interested in extracting moral lessons from the Bible rather than insisting that mythology is history.",12,17,topic_stance_votes_1
17,Finding Darwin's God,evolution,support,"Of course it is, and a dangerous one at that. When God is integretaed into the evolutionary philosophy reducing the book of Genesis to an ""allegory"", it misrepresents the nature of God as explained in the rest of the Bible, cheapens all Biblical teachings, and creates uncertaintinty in the method for finding God.
Matthew 12 :30 indicates two choices concerning the acceptance of Jesus, and other parts of the Bible deal with two choices regarding other things. It is easy to see today; with all the different political opinions in U.S. politics, it still basically boils down to Democrat vs. Republican. Conflicts almost always involve two opposing forces, and any fuzzy middle ground can't help but leaning one way or the other. If we wonder which way theistic evolution leans politically, all we have to do is see who falls all over themselves to defend it, don't we? :) 
How about this one, from page 56 in Millers book;
It puts a ""smile on God's face"" for us to reject the book of Genesis? That God smiles because maybe he wasn't necessary in more and more peoples minds? Is it no wonder atheists love this guy? Is it no wonder the Bible warns us about false teachers?
So much about complexity on earth has been discovered since Darwin, yet comparatively little more complexity has been discovered in all the dead rock planets all around us. But Darwinism will always be the faithful beginning point for atheism, just as the Bible is for us. 
And evolution isn't atheistic!! :p Do you ever wonder how these peoples' minds work, SS????",4,18,topic_stance_votes_2
18,Finding Darwin's God,evolution,attack,"THANK YOU! Let's look at his entire paragraph;
There's NO QUESTION he was referring to all men of God. You and electrolyte's dishonesty has just been laid bare. That, combined with all electrolyte's babbling, is making this thread even more fruitful than I thought it would be. 
P.S. (Hi_It's_Me ~sics~ me sometimes, just like you used to. Just thought I'd do it to Kenneth Miller once. He left out the word ""it"". It wasn't much fun though - I don't need to do it to divert attention from the points being made)
Without Genesis, (there's no Genesis with Kenneth Miller) exactly where did original sin originate? 
They both concern actual event(s) of the past. There really is a connection. 
A rejection of Genesis also rejects much of the rest of the Bible, as vouched for by Jesus, the Prophets and the Apostles. Where would those moral lessons be? What's left of the Bible after theistic evolution gets done editing it?",17,19,topic_stance_votes_2
19,Finding Darwin's God,evolution,attack,"Your satire needs work. At least you proved I'm right, you can't deal with your asinine claims about evolution being atheistic.",18,20,topic_stance_votes_1
20,Finding Darwin's God,evolution,support,I want to know what Marc thinks the differences between Agnosticism and Atheism are.,20,21,topic_stance_votes_1
21,Finding Darwin's God,evolution,attack,"Your inability to understand written English is stunning.
Why not argue against what Miller actually claims?
No. Genesis is mythology. It didn't really happen.
Recognition that much of the Bible is not literally true is not the same as rejecting it.",19,22,topic_stance_votes_1
22,Finding Darwin's God,evolution,attack,"No, there's NO QUESTION that he was saying that all men of God promote those particular religious claims.
And you wonder why I won't agree not to point out your lack of sixth grade reading comprehension skills...
Rather than just stop there, I thought I'd take this opportunity to reveal still more of marc's hilarious ""logic."" marc's entire tirade in this thread is meant in part to show that Miller is not a True Christian™. However, Miller is a mainstream Catholic. This would make Catholicism non-Christian, yet marc's argument here is that Catholic priests are clearly ""men of [the Christian] God.""
In order for marc's argument to hold water, Catholicism needs to be both Christian and non-Christian.
Bravo, marc!",19,23,topic_stance_votes_1
