,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,How did evolution happen?,evolution,support,How do you think evolution happened/started? (Just curious. :)),0,1,topic_stance_votes_1
1,How did evolution happen?,evolution,support,"this may be really wrong, but i remember hearing it somewhere
there was an experiment done that had a bunch of components(stuff that would have been around a few billion years ago, inorganic stuff) in a glass tube, and a current sent through it, simple organic compounds came out
so the theory was that lightning created the organic stuff and extremely simple organisims evolved, and after a few billion years stuff evolved",1,2,topic_stance_votes_1
2,How did evolution happen?,evolution,support,None of the above.,1,3,topic_stance_votes_1
3,How did evolution happen?,evolution,support,I agree with Crim. None of the above.,1,4,topic_stance_votes_1
4,How did evolution happen?,evolution,attack,"The poll at the top of the page is not complete. It assumes that Evolution is the only way that the world came into being. Every person, whether they are an Evolutionist or a Creationist, believes in something eteran; either eternal ""matter"" or an eternal Creator. There had to be SOMETHING to start with. The ""big bang"" theory has a speck of matter in it that explodes...where did that matter come from? 
Here is my theory of the Evolution of the Coca Cola can. BILLIONS of years ago there was a vast explosion in outer space. The big bang created a huge rock. As the rock cooled, sweet brown fluid formed on its surface. MILLIONS of years later, aluminum crept up around the rock, and trapped the sweet brown fluid in a can. MILLIONS of years later, red and white paint fell from the sky and formed themselves into the words ""Coca Cola, 12 fluid ounces."" 
Now, you are probably going to tell me, ""That's ridiculous!! Everyone knows that the Coca Cola can had a designer and a maker."" I know that. EVERYTHING has a designer and a maker: every building, every car, every toy, every computer.... and, yes, every person, as well. To believe otherwise, is to move into an intellectual free zone.",1,5,topic_stance_votes_2
5,How did evolution happen?,evolution,support,"A coca cola can is inorganic and does not reproduce. Your analogy is weak.
The existance of flaws in the human body show it was not intelligently designed.",1,6,topic_stance_votes_1
6,How did evolution happen?,evolution,support,"Okay, what I was trying to find out is how you thought evolution STARTED. Not ""how was the world created"". My poll was complete. You either think that God had a hand in it, or He didn't. Your choice.",1,7,topic_stance_votes_1
7,How did evolution happen?,evolution,support,Your poll is incomplete since 'pure chance' is not claimed by anyone.,1,8,topic_stance_votes_1
8,How did evolution happen?,evolution,support,"This isn't the creationism vs. evolution discussion guys.
I don't know, but I've heard the theory of an ameobia crawling on to land and mating w/ some other type of creature, and so on and so forth util animals mated there way to human beings.....
I know it sound silly, I didnt say I believed it, I just heard it.",1,9,topic_stance_votes_1
9,How did evolution happen?,evolution,support,"You're right, $ara. The story is terribly silly.",1,10,topic_stance_votes_1
