,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,I still don't care what stupid people think,evolution,support,"I will try get somebody to agree with me one last time. 
If creation science bamboozles someone they simply have no ability at science and none of there views on science will ever be worth anything. Does anyone actually no a human being that could not see through creation science all by themselves and has opinions on science you consider worthwhile. Currently most people think I am the opposite, I can see through creation science but my opinions about science are not worth anything ;)",0,1,topic_stance_votes_1
1,I still don't care what stupid people think,evolution,support,"I'm not entirely sure I understand.
Creation science is a oxymoron in the first place. 
The majority of people who are fooled into believing it either have poor reasoning skills, or lack of scientific knowledge. One can be fixed for sure. If one believes in Creation science, their opinions count as to what science should be teaching or emphasising differently, as to create a larger rift between what CS people practice and what real science does. It is a right to learn, even from your enemy.",1,2,topic_stance_votes_1
2,I still don't care what stupid people think,evolution,support,"The problem with so-called creation science is that it isn't actually science. Science aims to look at the evidence with an open mind and see what fits. Creation science starts with a theory and then picks the evidence to fit it. It's the difference between receiving intelligence and then deciding what to do, and deciding to invade Iraq and looking for intelligence sources that give you justification.",2,3,topic_stance_votes_1
3,I still don't care what stupid people think,evolution,support,"I think that's overly simplistic. I've spoken with alot of creationists, both in forums and in real life, and many of them are quite intelligent and well educated. The problem is that people have an amazing ability to filter out things that don't fit into their pre-conceived notions. I'm sure you've seen this in all sorts of different fields, it's just most pronounced when someone is denying facts, rather than refuting an opinion. If someone is devoutly religious, and firmly believes in a literal interpretation of the Bible, then facts which contradict that belief simply don't take hold. It's not that they don't understand logic or science. It's more like they've trained themselves to not hear things which go against their beliefs.",2,4,topic_stance_votes_1
4,I still don't care what stupid people think,evolution,support,"Perhaps, however in my expierence (yes, I realize this is circumantial), I have met only a single creationist who even remotely understood evolution. The rest spouted off the idiocy of ""if we came from monkeys...."" 
While we do have the same people spouting the same stuff after they have been soundly refuted, a number seem to have poor reasoning skills, or lack of scientific knowledge",4,5,topic_stance_votes_1
5,I still don't care what stupid people think,evolution,attack,"Ha, CS being stupid. Or could it be the fact that you aren't satisfied with the fact that creation is more than just possible or theoretical, but actually has evidence to support it and the Bible? I don't consider myself to be a Biology major, but really how long are you going to argue over this subject? We could spend eternity arguing faith vs logic, science vs creation, and end up exactly where we started. 
Fact:
Most Christians have accepted Jesus Christ and the Bible as truth not because of it being ""a crutch for the weak and ignorant"", but because of the peace, joy and happiness of what Jesus brings to the soul.
Christians believe in Creation because it's a close spiritual conviction and belief in a God who holds supreme power.
To argue against these is foolish because you can't fight one's conscience or faith.
Fact:
Evolutionist/Scientist/and whatever you wish to be called, you long for the fact that not so much for your ""science"" to be proven right, but simply to have a guaranteed peaceful sleep that you won't have to face consequences for the sins in your life.
As for Creationist not believing in science, or can't except science because it contradicts their beliefs is simply an ignorant Creationist. I believe science was a gift, just as mathematics, music, and love. God gave us the brain we use, why would he not make us fit to be able to survive in the world? I know some of you on this board are like super genius biologist or at least act like it and I applaud your seek for knowledge, but I don't need to know every aspect of Biology to be satisfied or to solidify my faith in God or his Power. Do I claim to know the answer to every doctrinal aspect of the Bible? No. I simply have seen, figuratively, move in people's lives and make them for the better.
As for the political abuse of religion and all the other garbage, I agree it has tainted the view of religion, but that should not diminish one's faith. Even in Jesus's time, he often disputed with the Pharisees and Saudicees. Anyways, I kind of got off topic, if it helps you sleep at night to mock and scoff at those who have a belief in God and his Creation, then all the good for you. However, don't make a topic acting arrogantly presuming you have foiund the key to disprove creation, or else you would be much to busy to be sitting online to post this thread. Thank you and God Bless....",5,6,topic_stance_votes_2
6,I still don't care what stupid people think,evolution,attack,"The difficulty is that you can pick and choose evidence to support any theory, however science aims for the ""best fit"" to the evidence. I am a Christian, I believe God created the universe, but I also believe that a century and a half of observations say that the evidence doesn't point to the earth having been created in 7 days 6000 years ago. God is more than capable of starting the universe 15 billion years ago in such a way as the evolution of humanity was inevitable.",6,7,topic_stance_votes_1
7,I still don't care what stupid people think,evolution,support,And I think Jo has it right.,7,8,topic_stance_votes_1
8,I still don't care what stupid people think,evolution,attack,"[QUOTE=Black Phoenix]Ha, CS being stupid. Or could it be the fact that you aren't satisfied with the fact that creation is more than just possible or theoretical, but actually has evidence to support it and the Bible? I don't consider myself to be a Biology major, but really how long are you going to argue over this subject? We could spend eternity arguing faith vs logic, science vs creation, and end up exactly where we started. 
Boy, you do love denying anything that might shake your world view. You do love making strawman arguements against it though.",6,9,topic_stance_votes_1
9,I still don't care what stupid people think,evolution,attack,"I don't have a problem with people beleiving in God. You can even think that everything in the bible is true if you do it the right way. Most people that believe every word in the bible usually do it in a reasonable fashion. If a scientist tells them that a dog cannot live of fruit they do not say that contradicts predators eating fruit in the garden of eden. . Stating inbreeding exists does contradict the bible where adams children and Noahs animals interbred without any problems. Fundamentalists don't object when scientists that pandas are endangered and low numbers will make inbreeding a problem, If they think about the contradiction at all they would just write it of as the lord making the universe act differently back then. I don't think that is stupid behaviour. 
To be frank someone can use the bible as their guidebook for life without being stupid but if they check all the references for moneylenders in the bible and use that as a sole guide for picking a homeloan they are stupid. The bible is fine as a soul guide for spiritual matters but not the sole guide for physical matters.",6,10,topic_stance_votes_1
10,I still don't care what stupid people think,evolution,attack,A fool has said in his heart that God does not exist.,10,11,topic_stance_votes_2
11,I still don't care what stupid people think,evolution,attack,the dillusional said in his heart that God does exist.,11,12,topic_stance_votes_1
12,I still don't care what stupid people think,evolution,attack,"Ah I see, when I say ""evolution"" you hear "" atheist!"" . Get that checked out, wont you?
And is the christian God you refer to? If it is, then all those buddists, hindus and moslems are a right bunch of fools!",11,13,topic_stance_votes_1
13,I still don't care what stupid people think,evolution,support,"There is a problem (as I see it) in that if God created all the evidence that appears to support his existence and all the evidence that casts doubt on it, you end up with a ""creationist"" argument that's impossible to controvert - unless we submit the ""evidence"" to forensic examination.",7,14,topic_stance_votes_1
14,I still don't care what stupid people think,evolution,support,"The fact that many people around the globe believe in God does not bother me in the slightest.
However, criticisms labelled at members of this forum for 'scoffing' at such people are misguided. 
Trying to educate people who willingly enter a Creation vs. Evolution internet forum in the principles of evolutionary biology while refuting the claims of creationists seems like a fair way to spend one's time.
These criticisms become offensive considering the level of evagelism spread by the sources of such criticisms in public places (shopping malls, my front door) that i have not willingly signed up for.",14,15,topic_stance_votes_1
15,I still don't care what stupid people think,evolution,support,"Believing in an imaginary relationship with a super natural being works for some people and not for others. For those who do, it helps them go through the day and live a happy life with a philosophy already written out for them. That's good. But for some people, they're not satisfied with that. They want something more meaningful. They had decided to take the path without the wishful promise of going into a paradise after they die, and pursue whatever they want to pursue. And that's good too.",15,16,topic_stance_votes_1
16,I still don't care what stupid people think,evolution,support,Nicely said,16,17,topic_stance_votes_1
17,I still don't care what stupid people think,evolution,support,But what do we do when one side desires to convert the other?,17,18,topic_stance_votes_1
18,I still don't care what stupid people think,evolution,support,"easy
kill those who would not submit",18,19,topic_stance_votes_1
