,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,"I tingle in anticipation of the ""proof""",evolution,support,"I'm just tingling in anticipation! Today is the day. It's Tuesday and HeavenBound has promised to post the ""proof"" that radiocarbon dating is not reliable. I'm sure that this will turn the science of archaeology on its ear, especially Biblical archaeology that has placed a lot of credence in the dating of finds in Near East. As stated in the Library of Congress Exhitit on the Dead Sea Scrolls, ""Within a fairly short time after their discovery, historical, paleographic, and linguistic evidence, as well as carbon-14 dating, established that the scrolls and the Qumran ruin dated from the third century B.C.E. to 68 C.E."" Radiocarbon dating has recently been used to verify that the dates of the Hitite civilization as per the Bible are correct, and not some 200 years later as previously believed. Just think, HeavenBound's ""proof"" will make nonsense of so much Biblical scholarship that it will be a disaster for all western religions.
But I look forward to the ""proof."" This is a paradigm shifting revelation that will also upset most of science. This ""proof"" will upset nuclear physics by showing that the technology is based on error (will it cause the closing of all nuclear reactors?). It will upset geology and paleontology by showing that all dates are unreliable. It will also upset astrophysics by showing that the detection of radioactive elements in heavenly bodies that are light years away (eg., cobalt-56 and cobalt-57 in SN1987A at 170,000 light years) are wrong. In effect, the dating of the universe, the earth, and human civilization will be thrown into termoil. A whole new era of science is about to dawn and I look forward to it.
So let us all hope that HeavenBound was not just trolling. She wouldn't actually promise something and then not deliver, would she? Sometimes it seems that she in just a bit incoherent. For example, here are some of her remarks from other threads.
Well! I guess that just showed you guys. It seems that HeavenBound thinks that having a closed mind is a bad thing. And yet,
What? How is that an example of an open mind. It seems that a closed mind is a virtue only in a non-religionist. Isn't the above statement the equivalent of a declaration of a closed mind?
Now I'm confused. In the same breath HeavenBound tells us that she accepts and rejects the science of evolutionary biology. I wonder if giving evolutionary biology a fair chance is like giving gravity a fair chance, or the heliocentric theory, or maybe the germ theory of disease? Did she give all of those a ""fair chance"" too? How about nuclear physics? And yet, as I mentioned above, HeavenBound has rejected most of science apparently, because she is going to offer ""proof"" that falsifies cosmology, astronomy, astrophysics, nuclear physics (or, as our President says, ""nucular physics""), anthropology, paleontology, geology, and biology.
So it seems that HeavenBound is a theistic evolutionist, believing that evolution is just God's method of creation. Her opinions seem contradictory to me.
If we are talking about ideas that work by means of logic, why does HeavenBound think that it is wrong to use logic? Why is it better to address logical topics with ideas based on mythology, spiritualism, and superstition? I haven't ever seen a peer reviewed paper that described how verification for a hypothesis was sought in the Bible, but it seems that HeavenBound finds that idea logical.
Actually, you haven't understood much of what has been discussed here, have you. Scientists are quite sure that evolution is 100% absolute. It is quite simple. Evolution has been observed. There is no question whatsoever. Changes in populations of organisms that meet the definition of biological evolution have been observed and are observed all the time. Strains of drosophila used for genetic studies have speciated several times so that many of them are no longer able to interbreed. This is in spite of the fact that they are all derived from a single population. The original strain was domesticated in California. Recent experiments have shown that the laboratory strains can't interbreed with the original population any more either. That is evolution. There is no doubt. The DNA of Drosophila has been sequenced and studied and differences that prevent interfertility have been identified. That is evolution. That is 100% sure. What isn't sure is whether the theories that explain these facts are correct. For most of the fundamental theories we are about 99% sure. Some of the newer work is less secure. New theories on the frontiers of knowledge are still being tested and amended.
But of course, it is evolutionists who have closed minds and not religionists.
Where appropriate, I do. Unfortunately for you, there is no room in science for ""POOF, GODDIDIT!"" as an explanation of the causes for observed natural events. Recourse to a miracle is giving up on learning. It is a declaration that we can't learn by the application of a logical method of study, the scientific method, to natural events that are observed in the natural universe. It is a declaration that mythology, spiritualism, and superstition is more reliable than logic. It is a declaration that a closed mind is the best way to learn.
Oh, yeah. HeavenBound. This post is mocking. I thought I would tell you that since you seem to have a great deal of determining when you are being mocked and when someone is trying to educate you. It seems that you respond to mocking better than you respond to education, since you haven't bothered to educate yourself about science to this point.
Looking forward to the evidence. Don't disappoint. And remember, anything from AIG, ICR, and Mr. Hovind isn't proof unless you can explain and verify any assertions. In other words, you will need to be able to show why your ""proof"" is a better explanation for the data than science - Occam's razor you know.",0,1,topic_stance_votes_1
1,"I tingle in anticipation of the ""proof""",evolution,support,"Heavenbound will not provide any ""proof"" because she cannot. It would have been better had she admitted knowing little about science and less about evolution before hitting the buffers in confusion and ignorance.",1,2,topic_stance_votes_1
2,"I tingle in anticipation of the ""proof""",evolution,support,"I'm inclined to believe, based on the style and content of Heavenbound's responses to numerous threads, that what we're actually dealing with is a child, not a troll.
If so, I hope that the numerous exchanges she's had here have opened her eyes a little to the world around her. Hopefully, she'll seek out more knowledge, rather than retreat into intentional ignorance.
Be gentle guys. :) 
Waxy",2,3,topic_stance_votes_1
3,"I tingle in anticipation of the ""proof""",evolution,support,If you're expecting something meaty I suggest you supplement with peanut butter early to avoid protien deficiency.,3,4,topic_stance_votes_1
4,"I tingle in anticipation of the ""proof""",evolution,support,"Perhaps she is a child, but she has indicated that she has an 18-year old son named Zach. I'm inclined to believe that she is an adult woman based on her own statements.",3,5,topic_stance_votes_1
5,"I tingle in anticipation of the ""proof""",evolution,support,HB is in the house.,5,6,topic_stance_votes_1
6,"I tingle in anticipation of the ""proof""",evolution,support,Or she's just a liar. You'd expect that from a creationist after all.,5,7,topic_stance_votes_1
7,"I tingle in anticipation of the ""proof""",evolution,support,"I don't think HeavenBound is a troll. I think she is a real, honest-to-god scientifically illiterate creationist. She entered the board with a major case of snide (yes HeavenBound, I know that snide is an adjective, and I know that I used it as a noun, but coining a new usage in this case seemed appropriate) and then accused me of mocking her. I never did so intentionally. The specific quote that she claimed was mocking was when I called here a dupe. It wasn't mocking, it was a statement of observation based on many years of debating with closed minded creationists. Most are dupes. Most are scientifically illiterate. Most are only semi-literate.
In fact, as most of you are aware, polls by Gallup and others have shown that creationists tend to be less educated, less affluent, female, southern, and rural. They are gullable and believe what anyone who claims to be a christian and a ""creation scientists"" tells them.
My bet is that HeavenBound will present unsupported assertions about radiometric dating. She has already made the claim that it is based on assumption. It certainly is. It is based on the assumption that the laws and forces of nature that we see in effect in the universe today are the same forces of nature that have always been in effect in the universe. We also assume that by careful observation and application of the scientific method we can learn about those forces.",7,8,topic_stance_votes_1
8,"I tingle in anticipation of the ""proof""",evolution,support,"Well I don't know about any of you, but in the time zone I'm in (EST) we've got at most another 3 hours to wait. Unless the proof isn't coming.",8,9,topic_stance_votes_1
9,"I tingle in anticipation of the ""proof""",evolution,support,"Don't despair. I think that HeavenBound is a Christian and it would be unchristianlike to make a promise and then not follow through. It would be the equivalent of a lie. Keep checking. I have faith in HeavenBound. She will post something - empty assertion most likely - and claim that it is ""proof"" because Morris, Ham, Sarfati, or Hovind told her so. Hopefully it won't be something like ""radiocarbon dating can't be true because the Bible says...""",9,10,topic_stance_votes_1
