,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,"More on cells as intelligent, dynamic, autopoietic systems",evolution,support,"**
FYI--
"" Public release date: 5-Apr-2007
[ Print Article | E-mail Article | Close Window ]
Contact: Audrey Huang
audrey@jhmi.edu
410-614-5105
Johns Hopkins Medical Institutions 
Need oxygen? Cells know how to spend and save
Researchers at Johns Hopkins have discovered how cells fine-tune their oxygen use to make do with whatever amount is available at the moment.
Too little oxygen threatens life by compromising mitochondria that power it, so when oxygen is scarce, cells appear to adjust by replacing one protein with an energy-efficient substitute that ""is specialized to keep the motor running smoothly even as it begins to run out of gas,"" says Gregg Semenza, M.D., Ph.D., a professor of pediatrics and director of the vascular biology program in the Institute for Cell Engineering at Hopkins. ""This is one way that cells maintain energy production under less than ideal conditions."" A report on the work is in the April 6 issue of Cell. 
""Cells require a constant supply of oxygen,"" Semenza says, ""so it's vital for them to quickly react to slight changes in oxygen levels."" The protein-swap is how they do it. 
In the mitochondria, the tiny powerhouses found in every cell, energy is produced by passing electrons through a series of relay stations called cytochromes until they eventually join with oxygen to form water. This final step is directed by the protein cytochrome coxidase, or COX for short. If electrons react with oxygen before reaching COX, they generate ""free radicals"" that can damage or destroy cells. The mitochondria are designed to produce energy without excess free radical production at normal oxygen levels. 
Semenza's team noticed that one particular component of the COX protein complex, COX4, comes in two different forms, COX4-1 and COX4-2. Under normal oxygen conditions, the cells' mitochondria contain mostly COX4-1. The researchers suspected that COX 4-2 might be the active protein under stressful, low-oxygen conditions, which the researchers refer to as hypoxia. 
To test the idea, the team compared the growth of human cells in normal oxygen conditions (what's generally present in normal room air) compared to cells grown in hypoxia. In low oxygen, liver, uterus, lung and colon cells all made COX4-2. The researchers then exposed mice to hypoxia for a few weeks and found that they too showed increased levels of COX4-2. 
In 1992, Semenza's team had discovered a protein which they called HIF-1 (for hypoxia-inducible factor 1) that cells make in response to hypoxia. HIF-1 turns on genes that help cells survive when oxygen is low, such as during a heart attack or stroke. The researchers set out to figure out if the sensor protein HIF-1 triggers the COX-swapping. 
By examining the gene control regions of COX4, they found that the HIF-1 sensor switched on COX4-2 activity when oxygen is low. And they learned that because COX4-1 already is in the mitochondria, the swap for COX4-2 occurs when the sensor turns on yet another gene that produces an enzyme to specifically chew up COX4-1. Engineering human cells to lack this enzyme and subjecting them to low oxygen, the scientists found the cells unable to rid themselves of COX4-1. 
""It's remarkable that the one-celled yeast also swap COX subunits in response to hypoxia, but because they lack HIF-1, they accomplish the swap in a completely different way,"" says Semenza. ""This suggests that adapting mitochondria to changes in oxygen levels may be a major challenge for most organisms on Earth.""
###
The research was funded by the National Institutes of Health. 
Authors on the paper are Ryo Fukuda, Huafeng Zhang, Jung-whan Kim, Larissa Shimoda, Chi V. Dang, and Semenza, all of Johns Hopkins. 
On the Web: 
http://www.cell.com/ 
http://www.hopkinsmedicine.org/genet...ine/index.html",0,1,topic_stance_votes_2
1,"More on cells as intelligent, dynamic, autopoietic systems",evolution,attack,"An excellent example of the mechanisms of evolution. Thank you.
I don't know why you keep posting articles that refute your position though.",1,2,topic_stance_votes_1
2,"More on cells as intelligent, dynamic, autopoietic systems",evolution,support,"I do - because he, by his own admission, does not understand/comprehend technical science and so relies on the purposefully dumbed-down press releases that he links to and quotes. He sees the anthropocentric metaphors and descriptive terms as real direct evidence.
He just doesn't get it, and is yet another example of the Dunning-Kruger effect in action.",2,3,topic_stance_votes_1
3,"More on cells as intelligent, dynamic, autopoietic systems",evolution,support,"funny how darwinists, when presented with evidence that lifeforms are intelligent and dynamic -- which refutes their mechanistic theory -- turn around claim it as evidence for their theory. emoticonXConfused Go figure. I guess that's about all they can do at this point: play dumb and hope nobody notices.",1,4,topic_stance_votes_2
4,"More on cells as intelligent, dynamic, autopoietic systems",evolution,attack,"emoticonXDonno 
Sorry, but intelligent and dynamic lifeforms do not refute naturalistic theories of evolution. 
IDism is a dead duck. Indeed, it was neither intelligent nor dynamic.",4,5,topic_stance_votes_1
5,"More on cells as intelligent, dynamic, autopoietic systems",evolution,attack,"Sport, if life-forms - including bacteria - are 'intelligent and dynamic', why does genetic engineering work? Why don't these 'intelligent and dynamic' bacteria reject or ignore the foreign DNA and go on working as before?",4,6,topic_stance_votes_1
6,"More on cells as intelligent, dynamic, autopoietic systems",evolution,attack,"**
Duh!! If someone slipped LSD into water, would you ""just ignore [it]and go on working as before""? What if you slipped and broke your leg, would you ""just ignore it and ...""?
Nobody is claiming that biosystems are utterly spiritual and ethereal, for cripe's sake! Get real.",6,7,topic_stance_votes_2
7,"More on cells as intelligent, dynamic, autopoietic systems",evolution,attack,"Yes, clearly they are only spiritual and ethereal in ways that cannot be identified and have no impact on scientific data. 
And I have a pink elephant dancing on my head, but she's invisible, weightless, and emits no smell. But she's there, really, and science must acknowledge her spiritual presence.",7,8,topic_stance_votes_1
8,"More on cells as intelligent, dynamic, autopoietic systems",evolution,attack,"ToE is a mechanistic theory -- it says life is like a machine. Machines aren't intelligent, they just do what they're made/programmed to do. Darwinists say lifeforms do what they do because of the way their particular genes program them. This is basic stuff.....yet you come along and say this isn't so. So which is it? Is life intelligent or not? If it is intelligent, what is illogical about believing life was designed intelligently by an intelligent designer? The intelligence had to come from somewhere. Where did the information in the DNA code come from?",5,9,topic_stance_votes_2
9,"More on cells as intelligent, dynamic, autopoietic systems",evolution,attack,"These ""darwinists"" are figments of your imagination, there is no serious scientist in any evolution related field that denies the influence of the environment on behaviour, and at least in more complex organisms, the ability to learn.
Nice strawman argument though, just keep imagining stupid things for your opponents to believe.",9,10,topic_stance_votes_1
