,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Origins of Life,evolution,support,"You folks can't box with God, your arms ain't long enough.
Many arguments are made about whether creation or evolution should be taught in our schools. I believe in creationism because I have never met an evolutionist who can explain where the very first sign of life came from.
Can something not alive give birth to life? Can something not alive change to be alive? The answer to both questions is NO!
There are many things I don't know, but two things I do know are science will never create anything from nothing and science will never create life from nonlife.
I still think that it takes more faith to believe in evolution than it does to believe in our creator",0,1,topic_stance_votes_2
1,Origins of Life,evolution,attack,"Hunter -- What does this nonsense have to do with evolution? Based on this post, it sounds to me like you have a problem with abiogenesis... yet you refer to 'evolutionists' who cannot explain the origin of life. That is non-sequiter. What's your point?",1,2,topic_stance_votes_1
2,Origins of Life,evolution,attack,"Science is a synonym for ""knowledge"".
""knowledge"" cannot ""create"" anything, by any definition. Why would you think it could?
And technically, life is composed of what we call non-living particles, it just happens to be arranged in such a way that we conveniently describe as life. You do know that right? We are composed of the same subatomic particles that are in the stars, the sidewalk, and the rain.
-Mach",1,3,topic_stance_votes_1
3,Origins of Life,evolution,attack,"Interestingly, I've never met a creationist who can explain it either. What they do is invoke an entity they claim needs no explanation, and then say that's what did it.
It's the intellectual equivalent of a scientist standing up and claiming that she has solved all scientific problems forever by her discovery of a universal but undetectable energy field called Boo. Any phenomenon for which there was formerly no scientific explanation is now fully explicable: Boo did it, and please mail my Nobel prize in a plain brown wrapper.",1,4,topic_stance_votes_1
4,Origins of Life,evolution,support,"Round and Round we go. Since when did evolution declare war on religon? I dont think it did. I think such a conflict only exists in the minds of people like ""I blame the Liberals"" Hunter. Shame really.
Hunter, why dont you go back to the dark ages, you'd be quite confortable there, and remember- cold is gods way of telling you to burn more scientists.",4,5,topic_stance_votes_1
5,Origins of Life,evolution,support,"Exactly!
""An yet not really understood (possibly naturalistic) mechanism which endorses the formation of self-replicators"" is just as good as an explaination as ""God did it"". 
Science just happens not to be satisfied with that - it are the standards of science itself which reduce this explaination to a mere ""we don't really know"". 
If scientists used the same standards as creationists, then they already would have an satisfying answer, so i don't think creationists have an actual right to complain about this ""we don't know"" in any way.",5,6,topic_stance_votes_1
6,Origins of Life,evolution,attack,"Any proof of that? Just because we haven't observed it doesn't mean it can't happen. That's not to say that you might not be right, but those questions certainly haven't been answered yet.",1,7,topic_stance_votes_1
7,Origins of Life,evolution,support,"Perhaps Hunter's confusion would be cleared up if he understood that evolution is not about the beginning of life, and it doesn't matter how life started.
It only describes how living things change over time.",7,8,topic_stance_votes_1
8,Origins of Life,evolution,attack,"And what evidence do you have, aside from a set of books written between 1900 and 2800 years ago that there is even a 'God' to box with. OH.. and the ectasy drivien delusional state of mind you get in when you worship.
As for the answer to the origins of life, how would you know? Do you know what the current state of affairs about the knowledge of abiogenesis is? Can you point to articles about it , showing it can't happen?? From peer reviewed journals of course.
NO, you can't. I can show a lot of articles about abiogenesis , but that would be worthless for you. You would be unwilling to look at it. 
I could show you articles about on the development of gender, and of how sexual reproduction became to be formed, but you wouldn't look at it.",1,9,topic_stance_votes_1
9,Origins of Life,evolution,attack,"Faith is the substance of things hoped for, the evidence of things not seen.
If it was easy..everybody would have it...
God happened...
http://www.redbay.comekklesia/belhope.htm",9,10,topic_stance_votes_2
