,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,The Evidence for Creationism?,evolution,support,I've noticed several Creationists claim that there is physical evidence for Creationism for those who would receive it. I was wondering... what is that evidence? This isn't meant to be a rhetorical question.,0,1,topic_stance_votes_1
1,The Evidence for Creationism?,evolution,attack,"The Physical evidence god creating the universe, is the universe. How else couldve it gotten here? 
Bloody Demoncratic doubters... emoticonXBanghead",1,2,topic_stance_votes_2
2,The Evidence for Creationism?,evolution,attack,I am pretty sure he was looking for science here!,2,3,topic_stance_votes_1
3,The Evidence for Creationism?,evolution,support,"*tumble weeds...whistling wind*
I'm afraid we can't comment on nothing :/",1,4,topic_stance_votes_1
4,The Evidence for Creationism?,evolution,support,Interesting. The Creationists are evading this thread.,4,5,topic_stance_votes_1
5,The Evidence for Creationism?,evolution,support,There's too much logic to be overlooked!,5,6,topic_stance_votes_1
6,The Evidence for Creationism?,evolution,support,"I get the feeling they have filed under: Plague, Avoid like the.",5,7,topic_stance_votes_1
7,The Evidence for Creationism?,evolution,support,"Heh. Someone created a thread titled ""Creationists lose debate because they avoid questions."" I guess this is what he was talking about.",7,8,topic_stance_votes_1
8,The Evidence for Creationism?,evolution,attack,"To Dzeron:
* The fact that the universe is finely tuned for life. The article provides a list of factors that point to a designer.
* The many evidences that point to a young age of the universe. These can be found here if you are really interested in looking at the evidence. This supports Biblical creation as these all point to a young Earth as opposed to supporting the long-age of the Earth.
* Of course, the many examples of design features in the universe also point to there being a Designer, i.e. God. Some examples of design can be found here.
* The fact that we do not have any undisputed transitional fossils. More information about this and some other fossils that show that they must have been formed catastrophically during Noah's Flood can be found by clicking on this link.
* The interesting fact that Australia's Aborigines most likely saw and lived with dinosaurs (this article is an interesting read at the least and can be found here). Other examples of human eye-witness accounts of appearent dinosaurs can also be found on the dinosaur Q&A page.
Along with these accounts, an amazing discovery of red blood cells in fossil bones from a T-Rex with traces of the blood protein hemoglobin. This implies that dinosaurs are not as old as the evolutionists suggest and thus provides evidence for the Bible's account that man was created with the dinosaurs on day six of the creation week only 6,000 years ago (literal 24 hr days). An article of this discovery is avaible at:
http://answersingenesis.org/creation/v19/i4/blood.asp 
* The geology Q&A page provides many evidences of where geological knowledge supports the Bible's account and events, including Noah's Flood.
* The fact that the second law of thermodynamics denies molecules to man evolution; more can be found out on the following site:
http://www.christiananswers.net/q-ed...odynamics.html 
As you can see, the evidence fits perfectly with what the Bible says about our origins. The interpretation of the evidence makes much more sense when interpreted in the Biblical creationary model.
The section http://answersingenesis.org/home/area/faq/science.asp might help clear up what I have been saying about the nature of science and why evolution is not science. I trust that you will at least look over a few articles there, I don't really care if you believe it or not, just have a look.",1,9,topic_stance_votes_2
9,The Evidence for Creationism?,evolution,support,"Is it reasonable to believe that a gender free universal levelofinteligence (God) would create an ever expanding universe simply so that a hand full of human animals who call themselves christians and who happen to live on an insignificat planet called earth can buy,beg, pray there way into mythical places called heave,hell and the lake of fire???
In religian,the bible,the torah and the koran lies the sins of yesteryear and in science lies the hopesfor tomorrows humanity.
(Jsus is coming,)
Lets all pray that his dad gets him a shave,haircut and a new wardrobe this tine as he looked kinda funky the last time that he was here.",1,10,topic_stance_votes_1
10,The Evidence for Creationism?,evolution,attack,"All of your evidence came from a christian website. Could you have showed us anything more baised. Couldn't you fine something from National Geographic or anything non-biased. Of course all this stuff points to the bible. That is exaclt what these scientists are trying to do. Buy as usual creationist use info that discounts evolution rather than proving creationism. All of these articles spend more time talking about how evolution is not the way the world was started, and spend little time talking about how creationism was the way.",9,11,topic_stance_votes_1
11,The Evidence for Creationism?,evolution,support,"In another message you told me to take off my old age glasses and look at the evidence from a creationist point of view. It seems that the creationist point of view is to reach the conclusion first, motivated by a belief that mythology is fact, and then selectively distort the facts in order to reach the previously determined conclusion.
We could go down your list of debunked claims one by one and debunk them one more time, but creationists tend to ignore any evidence that shows that they are wrong and don't seem inclined to correct, replace or remove such debunked assertions. Take for example the part of your post that I quote above. You furnish a link to a page by Carl Wieland that is demonstrably wrong, and yet, hasn't been corrected or replaced. It still makes the false claim of the discovery of red blood cells in unfossilized dinosaur bone. Of the three (yes, only three) sources cited in the AiG article, only one of them is from a non-creationist source. One of those creationist sources claims two ""secular"" sources according to Wieland's note, but one wonders why Wieland didn't actually consult the ""secular"" sources rather than the distorted creationist version. Why does he report what a creationist magazine said about the sources rather than what the sources said?
And the one non-creationist source that Wieland does use is not a scientific paper from peer reviewed literature, but an article by two of the researchers recounting their personal feelings and experiences. Why didn't Wieland cite the actual scientific papers (3 of them)?
Here's why. No one found red blood cells or hemoglobin as you and Wieland claim. That is certainly not what the scientists themselves claimed. The scientists claimed to have found evidence of degraded hemoglobin fragments and structures which might represent altered blood remnants. Isn't it funny how creationists object to evolution being presented as fact when in this case the scientists themselves were quite tentative about what their observations mean while the creationists are claiming facts that aren't in evidence.
Further error by Wieland is his claim that the dinosaur bone was not fossilized. It was. It was the interior parts of the bone that were not permineralized. In other words, the structure of the bone had been mineralized but the spaces that exist in living tissue had not been filled with minerals. While it may be correct to say that the bone was not completely fossilized, it is by no means correct to state that it is ""unfossilized.""
Moreover, the age of the bone has been supported by the amino racemization dating technique.
I reccommend that interested parties read Dino-blood and the Young Earth by Gary S. Hurd, Ph.D. Dr. Hurd has the advantage of having read the scientific literature, having a doctorate in an appropriate field (archaeology), and having worked as Curator of Anthtopology at a large Natural History Museum. Carl Wieland is a medical doctor who has not practiced medicine in over 18 years and has no experience in anthropology, paleontology, geology, or theoretical biology.
As has been pointed out by joebrummer, most of the ""evidence"" that you present in support of creationism isn't. It is rather arguments against the science that you cannot fit into your dogma. You claim that there are no undisputed transitional fossils and give a link to a page with frauds that were never accepted by science and some fossils that are most certainly transitional. The page merely defines them out of existance by claiming that a transitional is half one type animal and half another. A transitional between a dinosaur and a bird would, according to a creationist, have half a wing that would be useless for walking and useless for flying. But the page doesn't explain how an animal without a beak, with many sharp teeth, with unfused trunk vertebrae, with a long tail composed of free vertebrae, with no uncinate processes, with no carina, with free metacarpals, with free metatarsals, with a preorbital fenestra, with claws on the digits of the forelimbs, with a fully developed fibula, with gastralia, and with only a small, underdeveloped furcula can be a bird. No bird living today (let me repeat that, NO BIRD) has any of the above characteristics, and yet the page that you link claims that the fossil of such an animal is a bird. Of course, the fact that of the 7 skeletal fossils discovered, 2 were classified as dinosaurs and a third as a pterosaur. The animal looked like a dinosaur with feathers - and of course, we now know that many theropod dinosaurs did have feathers.",11,12,topic_stance_votes_1
