,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Where can I go to ask creationists questions?,evolution,support,"I never get any answers here, It does not matter if I ask, beg or demand creationists never answer my questions. What is up with that? Are they more talkative on pro creation forums?",0,1,topic_stance_votes_1
1,Where can I go to ask creationists questions?,evolution,support,"South of the Mason-Dixon. ;)
Waxy",1,2,topic_stance_votes_1
2,Where can I go to ask creationists questions?,evolution,support,"I believe you can talk to some representative of Hovinid on AOL instant message, by the screen name DrDino. I don't know the schedule though, so go check on his site if you're interested.
Edit: Well, its 6:49 EST, and he's on.
Edit 2: Oops, its Dr Dino Live.",2,3,topic_stance_votes_1
3,Where can I go to ask creationists questions?,evolution,support,"Yea Close_slave_can honestly if you're looking for answers I would even go so far as to invest in Dr. Hovind's DvD collection, only like a $100, but it gives you the full side of the creationist perspective, there are 7 DvDs with like over 20 hours worth of studies and stuff.....I found it really interesting....that would be your best bet.....",3,4,topic_stance_votes_1
4,Where can I go to ask creationists questions?,evolution,attack,"Hi Slave:
I am right here.
Ray M.",1,5,topic_stance_votes_2
5,Where can I go to ask creationists questions?,evolution,support,"Slave:
Any SCIENTIST whether creationist or Darwinian cannot represent the ID/Creationist side.
ONLY creationist theologians and philosophers can.
Philosophy is king - not science.
I happen to be a theology and philosophy major.
Ray M.",5,6,topic_stance_votes_2
6,Where can I go to ask creationists questions?,evolution,attack,"goto: 
http://evolutionfairytale.com/forum/index.php
But watch out! 
You will get banned for the least little thing if you do not agree with the admins!
It doesn't matter if you are totally civil.
If you start making solid arguments for evolution or against creationism, you will be banned without notice or reply.",6,7,topic_stance_votes_1
7,Where can I go to ask creationists questions?,evolution,attack,"You are absolutely correct !
Ray M.",7,8,topic_stance_votes_2
8,Where can I go to ask creationists questions?,evolution,attack,"Wow a statement that is both honest and correct from a creationist! Will wonders never cease!
Oh, it was going so well too :(
That figures emoticonXRolleyes",6,9,topic_stance_votes_1
9,Where can I go to ask creationists questions?,evolution,attack,And you think this a good thing? It just shows the weak cowardly position of the creationist.,8,10,topic_stance_votes_1
10,Where can I go to ask creationists questions?,evolution,attack,"O.K. what is wrong with only restricting yourself to what you can measure when you talk about science. You should never do this all the time for example if deciding what is good and evil what would you ""measure"".",5,11,topic_stance_votes_1
11,Where can I go to ask creationists questions?,evolution,attack,"Yes, you do know all about being banned, don't you.",8,12,topic_stance_votes_1
12,Where can I go to ask creationists questions?,evolution,attack,ill be happy to answer any questions to the best of my knowledge and experience,1,13,topic_stance_votes_2
13,Where can I go to ask creationists questions?,evolution,attack,"science can only talk about what is measureable. religion gets to take the rest. sometimes the domains overlap, and theres usually a conflict, but science wins ultimately. things like good, evil, the afterlife and the spiritual realm are trademarks of religion and cannot be used by science without written consent by the owner",11,14,topic_stance_votes_2
14,Where can I go to ask creationists questions?,evolution,attack,"Not to hard to figure that one out given your posts. :p 
Good luck with the philosophisizing, I hear you guys can name your price these days. :p 
Waxy",6,15,topic_stance_votes_1
15,Where can I go to ask creationists questions?,evolution,support,Particularly with the strong ability to have good two way communications. :p,15,16,topic_stance_votes_1
16,Where can I go to ask creationists questions?,evolution,support,"Not really. What happens is that you have to lurk on most creationist forums and see if one of your questions is answered. As was pointed out, asking a specific question that the creationist moderators feel shows an anti-creation attitude can get you banned.
Even if not, many of your questions are not answerable from a creationist perspective. For example, ""where did the water come from and where did it go"" never receives a rational reply. There will be lots of just-so stories about vapor canapies and fountains of the deep and the raising and lowering of continents and sea floors, and instantaneous mountain building and runaway plate tectonics and the like, but none of the answers will be satisfactory. When all is said and done, creationists will fall back on mythology and magic.
Yes, but the statement directly contradicts proponents of ""creation science"" and of ID. Their claim is that they are doing science, even though they can't show how. Scientists have claimed all along that creationists/IDers are doing philosophy and religion, but not science. That is the problem. They never offer any evidence that supports their assertions, only mythology and superstition.
But now we have Ray admitting that creationism and ID are not science and can't be included in science. They either philosophy or theology, but not science.
Well, that explains the scientific illiteracy but it doesn't explain the bizarre theology and the weak understanding of philosophy.",1,17,topic_stance_votes_1
17,Where can I go to ask creationists questions?,evolution,support,"Is this forum run by conservatives? I'm new here and I'd like to know what I'm dealing with before I get banned/censored. 
You can ask logical questions to creationists until you turn blue in the face. Every answer they give you always comes down to one thing, FAITH. That is the last word and always will be the last word.",17,18,topic_stance_votes_1
18,Where can I go to ask creationists questions?,evolution,support,"Don't be stupid and you won't get mocked. 
Other then that the rules are actually not enforced very well.",18,19,topic_stance_votes_1
19,Where can I go to ask creationists questions?,evolution,support,"Welcome!
I don't know the politics of the people who run the forum, but the only things that will get you banned are bad language and personal attacks of an excessive nature. At least, as far as I know.",18,20,topic_stance_votes_1
20,Where can I go to ask creationists questions?,evolution,attack,"No Clive it is not a good thing. It is a very bad thing.
I argued against Calvinism as calm and politely as possible. In response, the resident Calvinian Admin threw a tantrum and pontificated that I was advocating heresy contrary to established Protestant Doctrine.
But obviously this is all about debate.
They censored me and penalized via my posts were submitted for Mod review before being posted.
I resigned my membership.
These particular YEC's have no sense of what a debate board is about - absolutely clueless.
But if you go to IIDB they are just about the same - only atheists.
Ray M.",10,21,topic_stance_votes_2
21,Where can I go to ask creationists questions?,evolution,support,"Ray would you mind answering the question I asked before, repeated below for your convenience. 
What is wrong with only restricting yourself to what you can measure when you talk about science. You should never do this all the time for example if deciding what is good and evil what would you ""measure"".",11,22,topic_stance_votes_1
22,Where can I go to ask creationists questions?,evolution,attack,"Hi Slave:
There isn't a question mark in your comment.
But I think you are conflating science and the age-old debate about good and evil.
The Bible defines evil two ways: Lack of perfection = sin = evil.
Or, not doing what God says = evil.
I think you probably know this (I didn't say agree).
Anyway,
Ray M.",11,23,topic_stance_votes_2
23,Where can I go to ask creationists questions?,evolution,attack,"whoops I should have put in a question mark. 
I still don't understand the creationist position. Inbreeding contradicts the Bible so why don't creationists complain about that?",23,24,topic_stance_votes_1
24,Where can I go to ask creationists questions?,evolution,attack,"Where did the water come from? 
It was already there you XXXXX.
Can you say Ice Age?
Where did it go? 
It's still here you XXXXX. Ever heard of ice caps? Aquifers? 
Why do you think that every major culture that existed from that period on has what is called a ""flood myth?"" For the love of sanity, learn some anthropology and STFU.
Scientific evidence exists supporting a worldwide massive flood at or around the time defined biblically. That doesn't mean that it was a decision by a wrath-driven god to destroy the world, but it did happen.
Also, only a misinformed imbecile or a damned liar would say that no scientist can be a creationist and no creationist can be a scientist.
*wonders if he'll be banned for this haha :P*",24,25,topic_stance_votes_2
25,Where can I go to ask creationists questions?,evolution,attack,"actually, there's no evidence of a world wide flood.",25,26,topic_stance_votes_1
26,Where can I go to ask creationists questions?,evolution,attack,"Of course, I would be vastly interested in scientific evidence that supports a world wide massive flood. I know there is evidence of massive local floods, including the flooding of the dead sea and the black sea, but that is hardly world wide.",25,27,topic_stance_votes_1
27,Where can I go to ask creationists questions?,evolution,attack,"Because every ancient culture has an end of the world story, and it's generally based on the most powerful natural force in the area. For the Norse it's a never ending winter. For the Arabs in the desert, it's an all encompassing fire. And for the earliest cultures, all of which started on rivers, it's a flood.
And of course your claims that enough water to cover the worlds mountatins is contained in the ice caps and aquifers, as well as your claim that there's any evidence for a world wide flood, is simply hokum. People are always showing up here making those claims, and then disappearing when pressed for a single shred of evidence. Can we expect better from you?",25,28,topic_stance_votes_1
28,Where can I go to ask creationists questions?,evolution,attack,"when does inbreedig contradict the bible? there are lots of cases of family relations, God sanctioning the marriage of men with their nieces, cousins and even sisters (i think, not sure about the sisters). the entire nation of israel is one family. the only case of God cursing an inbred offspring that i can think of is the children of the daughters of Lot (and that could also be a just-so made up story so that the israelites could justify why they were supposed to kill out the ammonites and moabites...)",24,29,topic_stance_votes_2
29,Where can I go to ask creationists questions?,evolution,support,"make the most of this screen name because it probably wont be around for long...
anthropologists found the origin to the flood story. a massive flooding of the euphrates river in persia wiped out the entire area. one man named zuisudra who had packed up some of his farm animals on a little barge was saved along with his family. his survival was out of pure luck, he was a farmer and merchant that was about to sell his animals in a market across the river, and since his boat was ready just as the floods came, he managed to save himself and his animals (link)
in reality, there was no world wide flood, and no need to justify any ice caps melting or aquifers erupting. in fact, the character noah was a hebrew adaptation of the original story, in which the event was glamorously exagerrated. the fact is, you wont find any ark remnants on mount ararat, nor evidence that the entire world was under water, because that never actually happened. the parts about God forwarning noah more than a century in advance, or giving him the specifications to build the ark, or adding 2 animals of every kind, was all included by the hebrew story-tellers to and flair and moral weight to the story, not because it was true
you should take your own advice and do read up some anthropology",25,30,topic_stance_votes_2
30,Where can I go to ask creationists questions?,evolution,attack,"Thanks Vic!
We need a little comic relief now and then, things were gettting pretty heavy around here. :p 
Waxy",25,31,topic_stance_votes_1
