,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Atheism to Theism,existence of God,support,"Yes... the 6,000 year old debate... here we go again :) 
Atheism is the most logical default position one could take.
The lack of belief or knowledge is most usually the first position taken by one on a subject before they are to aquire knowledge or investigate the matter.
So how does the theist move from this default position to his position of belief?
How have you, presuming you to be a theist, come to the conclusion that God exists?
1. Please first define what you mean by God so we avoid any bad assumptions or confusion.
2. Please exclude all evidence and reason relating to the word ""feeling"".
Ex. ""I feel there is a God deep within my heart""
- Feelings are personal to the individual and cannot be used as evidence within a conversation unless I (the atheist) have the same feeling; which I assure you, I do not.",0,1,topic_stance_votes_1
1,Atheism to Theism,existence of God,support,Hello....?,1,2,topic_stance_votes_1
2,Atheism to Theism,existence of God,attack,"Good luck with that. 
I believe in something, certainlty not orthodox in any way. Why, because I am a irrational being. 
Good luck getting THAT out of any of the crazies here though.",2,3,topic_stance_votes_2
3,Atheism to Theism,existence of God,attack,"1. This has been done to death. As soon as I saw the post, I figured you weren't likely to get any new responses.
2. The question completely handicaps people's ability to respond.
Do a search of this forum, you should be able to find plenty of threads on the subject.
Waxy",2,4,topic_stance_votes_2
4,Atheism to Theism,existence of God,attack,"Yes but it seems many discussions eventually leas to some type of feeling or claims of personal experiences which cannot be used very effectivley in a debate or logical argument.
Requiring reason and logic instead of personal feelings handicaps peoples ability to respond completely? I would hope not...
There arent very recent discussions on this subject so I made a new thread for it. The risk of posting to an older thread is that some of the main members or responders in that thread may no longer use the site or pay attention to this particular forum.
And also I wanted to set limits on the type of response, by beginning a new discussion.
- - - 
Surely there is some theist out there willing to defend his claim in the field of reason?",4,5,topic_stance_votes_1
5,Atheism to Theism,existence of God,support,"Due to the current lack of success you seem to be having with your thread and the reasons for why seeming to be logical to this reader, could i instead ask why you think that atheism is the default starting point in the debate. Surely agnosticism would be the starting point for someone who does not know whether there is a god or not. Atheism claims that there is no god. This requires explanation as well.",5,6,topic_stance_votes_1
6,Atheism to Theism,existence of God,attack,"This is exactly what I was going to ask. But please, let's not get into another argument about the definitions of athiesm and agnosticism. That will totally kill any discussion as it has in the past.",6,7,topic_stance_votes_2
7,Atheism to Theism,existence of God,attack,I happily bow to your greater experience. :),7,8,topic_stance_votes_1
8,Atheism to Theism,existence of God,support,"I do not want to sidetrack. So while not debating the technical defintion of atheism and agnosticism; I will say that when I say atheism I MEAN the absence of belief in God. (This would include agnostics) Not a position one way or the other.
Is this an atheist message board? (Seems like it)",8,9,topic_stance_votes_1
9,Atheism to Theism,existence of God,support,"You create a thread and you take your chances. If the subject is deemed interesting, people will respond.",9,10,topic_stance_votes_1
10,Atheism to Theism,existence of God,support,Atheism is default because before someone gave you your mythology you had no concept of a creator. You might have made one up for yourself ultimately if no one had splained things to you but not necessarily.,6,11,topic_stance_votes_1
