,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Eve came first and God is a woman...,existence of God,support,"I found this pretty funny. Even though it is pretty sexist, its was amusing nonetheless. I don't see a reason why eve couldn't come first though.
EVE'S TALK WITH GOD
""Lord, I have a problem."" God asks, ""What's the problem, Eve?"" ""I know that you created me and provided this beautiful garden and all of these wonderful animals, as well as that hilarious comedic snake, but I'm just not happy."" God replies, ""And why is that Eve?"" ""Lord, I am lonely, and I'm sick to death of apples."" ""Well, Eve, in that case, I have a solution. I shall create a man for you"" ""Man? What is that Lord?"" ""Man is a flawed creature with many bad traits. He'll lie, cheat and be vain; all in all, he'll give you a hard time. But he'll be bigger, faster and will like to hunt and kill things. I'll create him in such a way that he will satisfy your physical needs. He will be witless and will revel in childish things like fighting and kicking a ball about. He won't be as smart as you, so he will also need your advice to think properly."" ""Sounds great,"" says Eve, with ironically raised eyebrows, ""but what's the catch Lord?"" ""Well"" says God... ""you can have him on one condition."" ""And what's that Lord?"" ""As I said, he'll be proud, arrogant and self absorbed, so you'll have to let him believe that I made him first. And it will have to be our little secret......... you know, woman to woman."" 
",0,1,topic_stance_votes_2
1,Eve came first and God is a woman...,existence of God,attack,That is very sexist. It is sad that you are ashamed of being male.,1,2,topic_stance_votes_1
2,Eve came first and God is a woman...,existence of God,attack,"Well, actually, I did find it funny even though I'm a male (or at least, I think I am?)...probably because it's a joke and I know I'm not like the stereo-typical male so I can laugh at them.
PS, I'm so unique because I'm so humble and would never brag about my bulging muscles, manhood and amazing intellect.",2,3,topic_stance_votes_2
3,Eve came first and God is a woman...,existence of God,support,Oh Good Grief! It sounds very like you are extremely unsure of your manhood to be so threatened by a funny little story.,2,4,topic_stance_votes_1
4,Eve came first and God is a woman...,existence of God,attack,"be quiet simone, if it made fun of women you'd be all over it.",4,5,topic_stance_votes_2
5,Eve came first and God is a woman...,existence of God,attack,Women have been denigrated and made fun of for centuries. I've just gotten tired of it--and righteously so.,5,6,topic_stance_votes_1
6,Eve came first and God is a woman...,existence of God,support,"Actually I'm so sure of my manhood that even though I knew that charge would be levelled against me I still posted anyway. 
Anyway if you feel that men need to be degraded to make up for past actions to women you have gone from ""righteous"" to bitter.",6,7,topic_stance_votes_1
7,Eve came first and God is a woman...,existence of God,attack,"Haha, I thought the joke was funny but the post replies are even funnier!",7,8,topic_stance_votes_2
8,Eve came first and God is a woman...,existence of God,attack,"Did you think we'd all catch your deliberate misuse of words or are you a blonde?
...can't be both!
Both men and women have been denigrated and made fun of for centuries...men are just better at denigrating and making fun.
I think the Cherokee Indians had the right idea.emoticonXGood",6,9,topic_stance_votes_2
9,Eve came first and God is a woman...,existence of God,attack,"It's interesting that you mention this because this was actually prophesied right from the beginning by God. Down through the centuries, women have been mistreated and often considered to be second-rate humans. This is because of imperfection, an imperfection that God could foresee:
“Your craving will be for your husband, and he will dominate you.” (Genesis 3:16)
Obviously men are not without blame too, but ultimately, due to disobedience to God, both Adam and Eve have had to pay the price and so have their offspring.",6,10,topic_stance_votes_2
10,Eve came first and God is a woman...,existence of God,attack,Guilt is a wasted emotion. Save the sermon.,10,11,topic_stance_votes_1
11,Eve came first and God is a woman...,existence of God,attack,"Feeling a bit guilty are we?emoticonXConfused 
It's a religious thread, I'm allowed to teach/preachemoticonXAngel",11,12,topic_stance_votes_2
12,Eve came first and God is a woman...,existence of God,attack,"haha, so because of this you should make fun of men and not women? That makes no sense but I figured you'd say this.",6,13,topic_stance_votes_2
13,Eve came first and God is a woman...,existence of God,attack,"You are ""allowed"" to preach and teach (and they are decidedly not the same thing), but who wants to hear it? If you have an intelligent thought to share, by all means. If it happens to be enlightening, then you have taught someone; but that remains to be determined by the recipient of the information, not the giver. If your presumption is to teach, that assumes an unwarranted superiority on your part.
But preach? Why would you want to go and do a rude, condescending and egotistical thing like that?
Are you trying to emulate EZ?",12,14,topic_stance_votes_1
14,Eve came first and God is a woman...,existence of God,attack,"Not in the least. As I said it is pointless. 
At your age you should concentrate on learning.",12,15,topic_stance_votes_1
15,Eve came first and God is a woman...,existence of God,attack,"Maybe you should emulate Jesus, Moose, and preach the Gospel like he and Billy Graham have done, instead of spewing out more worthless Michael Moore drivel that will never get anyone to heaven.",14,16,topic_stance_votes_2
16,Eve came first and God is a woman...,existence of God,attack,"Maybe you should emulate Jesus, EZ, and preach the Gospel and to Hell with the rest of that book.",16,17,topic_stance_votes_1
