,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,God doesn't believe in atheists!,existence of God,support,"A question for the atheists and agnostics out there:
Atheist: Have you been everywhere at once?
Obviously not, so how can you say there is ""no god?""
Agnostic: If there is a god COULD he reveal himself?",0,1,topic_stance_votes_2
1,God doesn't believe in atheists!,existence of God,support,I guess there is a relevant point in there somewhere....well....maybe not.,1,2,topic_stance_votes_2
2,God doesn't believe in atheists!,existence of God,support,"YES, that is the answer to ""if God really exist NOW"" !
But the whole world people won't believe to that so simple and TRUE answer !!
Jesus was such a Great liar of the world !
Up to now, still billions of people in the world believe in his lies !!",1,3,topic_stance_votes_2
3,God doesn't believe in atheists!,existence of God,support,"There is proof of god. Because people can't see him, they believe there is no god. Miracles happen everyday. I myself was an atheist. I figured that there was no proof. After I saw a few amazing things happen, everyday things that a lot of people tend to take for granted, I then started to believe.",1,4,topic_stance_votes_2
4,God doesn't believe in atheists!,existence of God,support,"sarablaze, there's billion of people like you, don't know why but just ""follow the follower"" !
Here on earth having billions of christian, catholic, muslim, buddhist are following their friends, their parents, their country's people to believe in God since born or during growth but don't know what God is or dare to ask if there's really GOD in the universe !",1,5,topic_stance_votes_2
5,God doesn't believe in atheists!,existence of God,support,"God is so good to use to deceive people for anything cos God is forever an unknown ! People could never get any real evidence to prove the exist of God.
As I know in history, nearly all countries when the time going to war must pray their God to bless them, bless them to kill another country's people. Its one of the usage of GOD ! And that's why most country leaders support religion.
Because you can say whatever you like in the name of ""your God"" to do anything and your God won't argue or disagree with you.",1,6,topic_stance_votes_2
6,God doesn't believe in atheists!,existence of God,attack,"One does not have to know everything to reject theism.
Do you believe in purple unicorns on uranus?
Have you -or anyone- been to uranus to check?
No?
Ok, I assume you believe in them then.",1,7,topic_stance_votes_1
7,God doesn't believe in atheists!,existence of God,support,"XYOU,
I don't believe in organized religion. Have you ever seen a baby being born, or a person who use to be an X con, change their life?
Have you ever seen the sun rise or set? Little things happen all the time every day, and they are all proof of god.",1,8,topic_stance_votes_2
8,God doesn't believe in atheists!,existence of God,attack,"Sarah, none of those things prove the existance of deities. They're not even evidence.",1,9,topic_stance_votes_1
9,God doesn't believe in atheists!,existence of God,support,"crim, sara means those unbelievable beautiful incredible natural phenomenon that we could experience must not all in coincident just exist by themselves and without ""God""'s design and created them !
I do believe the same as sara !
I do believe the whole world's things are designed and created by ""God"" !!
Simply, even as simple things as a cup, a TV set, a pc,.....it won't exist by itself if no one design it first and make them.",1,10,topic_stance_votes_2
