,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,How do Atheists account for the Laws of Logic?,existence of God,support,"How do atheists account for the laws of logic in a universe without God? The Laws of logic are conceptual by nature and absolute. Being absolute they transcend space and time. They are not the properties of the physical universe (since they are conceptual) or of people (since people contradict each other, which would mean they weren't absolute). So, how do they account for them?
Examples of logical absolutes are: something cannot be itself and not itself at the same time (Law of non contradiction). A thing is what it is (Law of identity). A statement is either true or false (Law of excluded middle). These are simple, absolute logical absolutes.
How can absolute, conceptual, abstract laws be derived from a universe of matter, energy and motion? 
In other words, how can an atheist with a naturalistic presupposition account for the existence of logical absolutes when logical absolutes are conceptual by nature and not physical, energy, or motion?",0,1,topic_stance_votes_2
1,How do Atheists account for the Laws of Logic?,existence of God,attack,"I tried to respond to this when it was in the Religion forum, but it disappeared right before my eyes.
I need some clarification of your posit.
Are you claiming that atheism precludes logic?
I take exception with this part:
I agree that the rules of logic are not properties of the physical universe. They are properties of mankind, devised from common sense and experiences of nature. (Logic tells me if I stick my hand in fire, I will get burned.) ...and the fact that people contradict each other has no bearing on the absoluteness of the rules of logic. It merely reflects the failure of many to grasp the rules and play by them.
...and this part:
I recall many occasions wherein someone said of a third party, quite truthfully, ""He's not himself today."" Clearly, he was nobody else and he was still alive, so he was physically himself, but emotionally detached.:)",1,2,topic_stance_votes_1
2,How do Atheists account for the Laws of Logic?,existence of God,attack,"[QUOTE=jim's trucking]I tried to respond to this when it was in the Religion forum, but it disappeared right before my eyes.
I need some clarification of your posit.
Are you claiming that atheism precludes logic?[QUOTE]
no, im saying (and will explain later) that atheism cannot account for the laws of logic and has to borrow from the christian worldview to account and make sence of the laws of logic.
[QUOTE]I take exception with this part:
I agree that the rules of logic are not properties of the physical universe. They are properties of mankind, devised from common sense and experiences of nature. (Logic tells me if I stick my hand in fire, I will get burned.) ...and the fact that people contradict each other has no bearing on the absoluteness of the rules of logic. It merely reflects the failure of many to grasp the rules and play by them.[QUOTE]
you are confusing the mind with the universe. Define what ""common sense"" is; common sence is subjective, not absolute. If the laws of logic come from experences of nature, then they can change because peoples experences change. Sticking your hand in the fire in not logic. The laws of logic are not actions. They are statements about conceptual patterns of thought. Though one could say that a law of physics (i.e., the angle of reflection is equal to the angle of incidence) is a statement which is conceptual, it is a statement that describes actual physical and observable behavior. But, logical absolutes are not observable and do not describe behavior or actions of things since they reside completely in the mind. 
We do not observe the laws of logic occurring in matter. You don't watch an object NOT bring itself into existence if it doesn't exist. Therefore, no law of logic can be observed by watching nothing. 
We discover laws of physics by observing and analyzing the behavior of things around us. The laws of logic are not the result of observable behavior of object or actions. 
For example, we do not see in nature that something is both itself and not itself at the same time. 
Why? Because we can only observe a phenomena that exists, not one that does not exist. If something is not itself, then it doesn't exist. How then can the property of that non-existent thing be observed? It cannot. 
Therefore, we are not discovering a law of logic by observation, but by thought. 
Or, where do we observe in nature that something cannot bring itself into existence if it does not already exist? 
You cannot make an observation about how something does not occur if it does not exist. You would be, in essence, observing nothing at all and how can any laws of logic be applied to or derived from observing nothing at all? 
i dont get it, he can say he is someone else but that does not mean that he is someone else, again law of logic are conceptual.
The laws of logic are not dependent upon different peoples minds since people are different. Therefore, they cannot be based on human thinking since human thinking is often contradictory.",2,3,topic_stance_votes_2
3,How do Atheists account for the Laws of Logic?,existence of God,attack,"Let me know when you learn how to manipulate the quote commands.
I'll reveal part of my next reply right now. If I stick my hand in fire, I will get burned. This is a logical derivation...like If A, then B. It comes from experience and mother's teachings. It will not change. EVER! It is quite logical to assume that in the future, if you stick your hand in fire, you will be burned.",3,4,topic_stance_votes_1
4,How do Atheists account for the Laws of Logic?,existence of God,support,"Logic is a human construct. We didn't discover it, we invented it. The Greeks firstly IIRC. Guess what, they weren't Christians.",4,5,topic_stance_votes_1
5,How do Atheists account for the Laws of Logic?,existence of God,support,"Sinjin, I believe I've told you before that I really hate you when you are so devastatingly right on the mark.
Growl!!! Growf!!! Why didn't I think of that?",5,6,topic_stance_votes_1
6,How do Atheists account for the Laws of Logic?,existence of God,attack,"I am new to 4forums so I don’t know how to quote very good yet, but that’s not the issue at hand. Again, your example is not an example of the laws of logic because logic is a concept and cannot be observed. Putting your hand in the fire has everything to do with nerves not logic; saying that A then B does not follow because someone could tie your hand (I know people that will burn themselves) in a fire and then A would not equal B, however the laws of logic cannot be violated. 
Logic cannot come from experience because people's experiences change and are different which means that the laws of logic could change. Logic does not come from your mother's teaching because not everyone has a mother and mothers think differently. 
Again, if the laws of logic are human constructs then how can they be absolute since humans think differently and often contradictorily. If they are produced from human minds, and human minds are mutually contradictory, then how can the constructs be absolute? Therefore, the laws of logic are not human constructs.",4,7,topic_stance_votes_2
7,How do Atheists account for the Laws of Logic?,existence of God,attack,"Read the post before this one. 
Your statment is like saying we evented 2+2= 4. We did not envent it, it aways existed. Same with logic, its a concept that exists apart from the meterial universe. But in the atheists worldview, only the meterial universe exists.",5,8,topic_stance_votes_2
8,How do Atheists account for the Laws of Logic?,existence of God,attack,"Try the ( Law of Common Sense) . If your an ex-atheist, you already know the ( Law of Relativity ).",1,9,topic_stance_votes_1
9,How do Atheists account for the Laws of Logic?,existence of God,attack,"Wrong, buddy.
2+2=4 is our way of describing some things, like counting. Now start adding up velocities under relativity theory and you get 1+1=1.
As for how atheists (and agnostics) explain these rules: simple. We came up with them to facilitate communication and analysis of the world around us.",8,10,topic_stance_votes_1
