,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Why God Likes Atheists Best,existence of God,support,"From Humanist In Canada magazine, Spring 2000
Why God Likes Atheists Best
Wurt Keinheimer
First of all, atheists aren't always asking God for stuff. YOu don't hear atheists going around saying ""Oh God, please give me a Sony Play Station!"" or ""Dear Lord, please don't let me lose my erection now!"" or Heavenly Father, don't let my daughter get a nipple ring!""
I mean, think about it from God's point of view. He listens to that kind of stuff, and lots worse, from His believers twenty-four hours a day, three hundred and sixty-five days a year, millennium after millenium, no weekends off, no vacations and no overtime pay. After a while that has got to get old. So God probably really appreciates His atheists for procurring their own Sony Play Stations and erections and whatnot.
But that's not the only reason God likes atheists best. He also really digs it that atheists don't go around gossiping and spreading rumours about Him like His believers are always doing. You don't hear atheists talking about how God is this kind of guy or that kind of guy, or how God caused this terrible event or did thus-and-such to so-and-so.
Heck! How would you feel if everybody and their brother was spouting off about what you did or why you do the things you do? Cuz you know it all gets back to Him in the end, right? After all, he is God.
I figure one of these days He's gonna come looking for everybody that's been spreading rumours and gossip about Him. He'll come down from Heaven and round up all the Baptists and Rosicrucians and Hindus and Buddhists and Jews and Moonies and Quakers and Shakers and Episcopalians and all His other believers. Then He'll gather them unto him in the Sky Dome in Toronto and really let them have it!
He'll say, ""Who do you think you are, talking about me behind my back? Who are you to say Who I am? How dare you define Me?!""
Now, you gotta figure those blievers are gonna be feeling pretty embarrassed when He confronts them that way and they'll probably go all quiet and sheepish and contrite. So, being a skilled orator, God will no doubt seize the opportunity of the silence in the Sky Dome to press His point, verily saying, ""From now on, mind your own business, like My atheists do. You take care of the human stuff. I'll take care of the God stuff. And if I ever need you to define me, which is highly unlikely, I will let you know. Till then, just keep your mouth shut about Me.""
Of course, being God, He might word it a bit differently but I'm sure that would be the gist of His Message. And boy oh boy! Wouldn't you love to be there to hear Him give His Message? I know I would. But, being an atheist, I might not be invited. At the very least, God probably won't be sending me complimentary tickets to that particular Sky Dome event. But hey, I figure that's why he created ticket scalpers.
Anyway, there's another reason God likes atheists best. In His guise as God the Father, arguably the best parent ever, He's gotta love the self-reliant independence of His athiest offspring. He's gotta adore the fact that His atheist kids stand on thier own two feet and aren't forever tied to His spiritual apron springs. And it must be no small comfort to Him that His atheist boys and girls don't blame Him for their failures and don't expect Him to provide for their successes. Heck! He must feel immense pride and relief that His athesit progeny take responsibility for their own actions and realize that their own actions are the only thing they have to make the world a better place.
Dang! Is it any wonder God likes atheists bests? Of course not. It's only logical. Besides, I'm an atheist, so I know on a level beyond logic, that atheists are His favourites, His chosen people, His representatives on earth. 
After all, I just created this God for the purposes of this essay and I'd have to be crazy not to have Him like me best. Wouldn't I?",0,1,topic_stance_votes_1
1,Why God Likes Atheists Best,existence of God,support,Very humorous. And maybe closer to the truth than one dare imagine... emoticonXGood,1,2,topic_stance_votes_1
2,Why God Likes Atheists Best,existence of God,support,"Well...I never.
Everyone knows God loves me most or my name isn't Saddam Hussein!
Why, I even have some pics of me and the old luvy dovey.
Here.
Jealous?
You should be.",2,3,topic_stance_votes_1
3,Why God Likes Atheists Best,existence of God,support,"I thought you were going to say, ""or my name isn't George W. Bush.""",3,4,topic_stance_votes_1
4,Why God Likes Atheists Best,existence of God,support,"George Carlin said that God recieves trillions of prayers a week, most of which are on sunday, his day off. Sad existence.",4,5,topic_stance_votes_1
5,Why God Likes Atheists Best,existence of God,support,"Unriggable, isn't the God's day off Saturday?",5,6,topic_stance_votes_1
6,Why God Likes Atheists Best,existence of God,support,"Yep, and so should everyone else's, apparently. But don't worry, you only get an eternity of damnation for ignoring god's word.
Smiley",6,7,topic_stance_votes_1
7,Why God Likes Atheists Best,existence of God,attack,There are two kinds of people that can follow the teachings of the Christ. One follows: Because he walked on water; Walked out of his grave; Holds the keys to hell itself. The other follows the man because of the value he placed in his teachings. Yet he does not believe Jesus walked on water or out of his grave. Which man is the more righteous?,1,8,topic_stance_votes_2
8,Why God Likes Atheists Best,existence of God,support,"Think of it this way: Jesus came not to call the righteous, but sinners to repentance.",8,9,topic_stance_votes_2
9,Why God Likes Atheists Best,existence of God,support,"So the choice for man is: a heaven filled with fearful people that behave because of an overwhelming fear of hell, or a hell filled with people having the basic failure of accepting a Christ. Knowing Hitler was baptized and the last serial killer was deacon of his local church may sway many very good people the other way. Its an odd thing, but atheists seem to be the nicest people I have ever met.",9,10,topic_stance_votes_2
10,Why God Likes Atheists Best,existence of God,support,"No, not true at all. G-d desires for us to willingly love Him suprememly and for our lives to be guided by Him just as any earthly father would guide his own children. Hell is a place of utter torment that people, who reject G-d, choose to end up in. Consequences of our decisions have eternal signifigance.",10,11,topic_stance_votes_2
