,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,secularism vs. atheism,existence of God,support,"Is there a difference between secularism and atheism? Here are the dictionary.com definitions of the two words;
Here is part of the Humanist manifesto 2, concerning religion;
http://www.jcn.com/manifestos.html
Are the sentences I highlighted above not basic, strong core beliefs of both secularists and atheists? I see nothing anywhere in the above paragraphs that would distinguish a secularist from an atheist. Is there anything in the above paragraphs that would constitute an unreconcilable difference between the two?
Also from dictionary.com;
What are the differences between the ways a secularist and an atheist would see and interpret the world?",0,1,topic_stance_votes_2
1,secularism vs. atheism,existence of God,attack,"Secular is 'non-theistic'. In other words, it does not consider if there is a god or not. It just is not a matter for consideration.
Atheist is the lack of belief in any deity.",1,2,topic_stance_votes_1
2,secularism vs. atheism,existence of God,support,"Based on the definitions you gave, they're quite different. Atheism is a matter of personal belief, secularism is a matter of public policy. There's no reason you can't be devoutly religious and a secularist. You would have your religious views, but believe that public policy should not be based on them.",2,3,topic_stance_votes_1
3,secularism vs. atheism,existence of God,attack,"Mathematics is indifferent to theistic matters. Does that mean that mathematics is atheistic?
Quite obviously, no. Just as one can believe that two plus two equals four and that a deity exists, one can believe that two plus two equals four and that no deity exists. Therefore, math is secular (and not atheistic).
Keep in mind that there are a couple different ""flavors"" of atheism: strong and week. Strong atheism is the assertion that no god exists. (""I believe there is no god."") Weak atheism is the lack of belief in a god. (""I do not believe in any god."")
Also keep in mind that some Deists consider themselves humanists, as in mentioned in the manifesto.
Instead of answering the question, I'll ask a ""counter-question"" to try to illustrate the irrelevance of your question:
What are the differences between the ways that a secular mathematician, an atheistic mathematician, and a theistic mathematician would see and interpret numbers and math? If they all believe that 2+2=4, that the sum of the squares of the measures of the lengths of the two legs of any right triangle is equal to the square of the measure of the length of the hypotenuse, that the derivative of the natural log of x is the reciprocal of x, etc., does that mean that secularism, atheism, and theism are all the same?
Kronus also makes a good point. Many ""things"" (like math and science, as opposed to people) are secular and not atheistic.",1,4,topic_stance_votes_1
4,secularism vs. atheism,existence of God,support,"They are different terms and apply to different things. Secularism is not a worldview in itself, it is a policy of how to apply religious and other worldview in real life.
Secularism does not exclude people with a religious worldview. One may imagine a devout christian that firmly believes in his faith, but is also convinced that faith must come from within and that forcing someone to behave in accordance with a religion simply encourages false faith, and would logically conclude that his faith should not be forced upon people (usually with the subclause of ""Let them burn in hell afterwards"", or something else along those lines).",4,5,topic_stance_votes_1
5,secularism vs. atheism,existence of God,support,I hope there's a way to leave feedback for the fine folks at Dictionary.com. Atheism has nothing to instruct us in immorality.,5,6,topic_stance_votes_1
6,secularism vs. atheism,existence of God,support,"I think it's more likely that dictionary.com just realised that the term can be used as a curse, too. Just like liberal.
I mean, if Easyrider were to shout ""You atheist!!!!!"" at you, which meaning of the word do you think he would mean?",6,7,topic_stance_votes_1
7,secularism vs. atheism,existence of God,support,"And I have left them feedback to see what happens. I noticed this particular entry was sourced from The American Heritage® Dictionary of the English Language, Fourth Edition so it is not something Dictionary.com wrote. 
I can see Iuris' point but the entry is still laid out wrong if this is the case. As written, ""Godlessness; immorality"", implies that immorality is synonymous with godlessness but the thesaurus entry for godlessness does not list immorality as a synonym. I think this is because some use the term ""godless"", an adjective, to mean immoral but ""godlessness"", a noun, to mean atheistic.",6,8,topic_stance_votes_1
8,secularism vs. atheism,existence of God,support,"Thanks for contacting them, doG. The various definitions of atheism we encounter in our society need to be watched carefully, IMO. Too often, those writing the definitions are hostile to the idea of a person being godless. It's so easy to sully or demonize the term.",8,9,topic_stance_votes_1
9,secularism vs. atheism,existence of God,support,"Shoot! Billscoe!
And here I was hoping you would instruct us in Atheistic immorality.
Disappointed again! However shall I learn to be an immoral person?",9,10,topic_stance_votes_1
10,secularism vs. atheism,existence of God,attack,"It's a dictionary, meant to report meaning not make it. The use of the word 'atheist' to denote godlessness and immorality is very old: in fact, in the middle ages 'practical atheists' were considered more common and more of a problem than 'theoretical atheists', as pretty much everyone theoretically believed in God but some still acted godlessly.",10,11,topic_stance_votes_2
11,secularism vs. atheism,existence of God,attack,"I agree, I thought about putting a disclaimer about my thoughts on that in my first post, but I figured it would come up soon enough. I have had atheist aquaintances / coworkers throughout my life that were no different in some basic morals ect. from myself. I suppose they would claim that their morals come from worldly experiences, not the Bible. I can't argue with that. 
With the word ""immorality"" left out of the one definition, it makes the definitions of the two terms more similar, which concerns my point.",6,12,topic_stance_votes_2
12,secularism vs. atheism,existence of God,attack,"It does mean they are all the same, concerning mathematics. But black & white subjects like mathematics make up a very small percentage of subjects that people deal with and make decisions on every day. Seeing and interpreting the world. The Humanist Manifesto outlines it in a broad sense. It's main point seems to be that humans are the highest form of intelligence, concerning earth and all life on it. If atheists declare there is no god, and secularists don't give any thought to a god, what differences would there be on how knowledge is filtered, decisions are made, values are established, and priorities are set? 
Math is much more black & white than science is. In some science, the same evidence can lead to different conclusions. The worldview, the beginning presuppositions of the person studying the evidence, is often what determines the conclusion. 
A devoutly religious person would disagree with all the statements in the Humanist Manifesto that I highlighted. Would they believe that public policy should be based on things that they don't believe? 
A hypothetical - If a public policy was a vote on abortion, and the ""devoutly religious"" person voted no, and the atheist voted yes, would the secularist, or humanist, be a non vote, a neutral position? There is no neutral position, because the issue would be decided one way or the other, and would effect the society of the secularist the same as it would the other two. It's clear who the secularist would side with.",4,13,topic_stance_votes_2
13,secularism vs. atheism,existence of God,attack,"So if an atheist believes that humans are the highest form of intelligence, and a devout Christian believes God is the highest form of intelligence, the Christian should allow the atheist to force him to behave as if humans are the highest form of intelligence?",5,14,topic_stance_votes_2
14,secularism vs. atheism,existence of God,attack,"No, secularism is not about forcing behaviour. Under a secular the government neither forces people to believe, nor does it force them not to believe. It does not establish rules of worship, base itself on atheism or any religion.",14,15,topic_stance_votes_1
15,secularism vs. atheism,existence of God,support,"So when you're doing math, you're an atheist? Of course not. Just because there is overlap doesn't mean that the two views are identical.
Let's say an event occurs that defies immediate explanation.
An atheist would say, ""I don't know right now how it happened, but it sure wasn't God!""
A secularist would say, ""I don't know right now how it happened.""
An atheist might publicly declare that no god(s) exist(s), be it via books, debates, lectures, seminars, etc.
A secularist would make no claims about the existence or nonexistence of any god(s).
An (abnormally radical) atheist might push for schoolchildren to acknowledge their lack of belief in any gods on a daily basis (say, looking at the American flag and holding their right hands over their hearts)...
A secularist would demand that religion be left out of the classroom.
This is where Occam's razor comes in. Perhaps you've heard of it?",15,16,topic_stance_votes_1
16,secularism vs. atheism,existence of God,support,"A coin that says, ""In God we trust"" is theist.
A coin that says nothing about God is secular.
A coin that says, ""There is no God"" is atheist.",16,17,topic_stance_votes_1
17,secularism vs. atheism,existence of God,attack,"Symbiote already pointed out the important fact that atheism is the lack of a belief in mythology dieties like the christian ""God"". It has nothing to do with ""forcing"".
However, aside from that, your reasoning is still suspect.
Marc, first, you are ""forced"" every day to do things that coincide with reality, and it's only ethical that you SHOULD be. You are forced to pay enormous penalities if you violate certain laws, up to even being killed as a result. You are forced to go on green, and stop on red. Forced to drive the right way on the street. Forced to pay debt, etc. Laws and the associated penalities are generally formed by, and enforced by, secular government, employing non-theistic reasoning. Nonsense like religion simply has no place in a reasonable government (let freee people worship whatever they like, but it's NOT ethical to put it into government).
For instance, regarding your claim that atheism claims man is the highest form of intelligence. That's incorrect, again, atheism is ""without belief in mythological, nonsencial dieties and the like"".
HOWEVER, any sane person acknowledges the simple fact that there is NO EVIDENCE of ANY life in the universe that is more intelligent than human beings. If you have some, please share (with CNN and the scientific community). If not, then your claims are simply of no consequence...just like saying a red headed demon just told me to type this. There's no evidence for it, it's either : A lie. A delusion. A joke. Take your pick. If some bobble-headed alien shows up one day and runs circles around our intellect, great, we have a new winner, and we proceed with the new alien as the most intelligent...that is if we are reasonable. The unreasonable might still suggest that their fantasy diety is still #1. Fat lotta good that does anyone (it's meaningless).
-Mach",14,18,topic_stance_votes_1
18,secularism vs. atheism,existence of God,support,"Atheism is ""without belief in god"", by it's root words. NOT-theistic, simply the opposite of religious...NOT religious. Religious <-> not-Religious.
Saying ""there is no god"" simply isn't something a reasonable person, with a little time to think it through, would claim.
Secular seems to apply towards language, a body of rules, etc., and means, without religion. Every single person in a secular government may be theistic personally. Since rules or a government isn't a thinking person, it wouldn't make sense to call them atheistic or agnostic, which deals with belief or lack of.
Agnostics are necessarily atheists ,that is, if they do NOT belief in [any diety], then they are atheists by definition. If there reason is that we cannot know, or that they don't know, then they can grab another coin..with agnostic on it.
-Mach",17,19,topic_stance_votes_1
19,secularism vs. atheism,existence of God,attack,"Yes. I know of no one who agrees with all government policies, or all of the premesis that they're based on. But we do all agree (or at least almost all) that we need some method for forming those policies. Compromises must be made. A religious secularist could believe, for example, that if we allow religious beliefs to dictate policy than it's just a matter of time before general religious freedom is compromised for all but those who follow the religion of the ruling party. Rather than risk that they would think it an acceptable compromise to have some policies that they don't agree with, as long as they don't actively compromise their faith. 
It's not clear to me at all. They might think that the heart of the issue is whether a fetus is a person, and so be fine with 1st trimester abortions, but not 2nd or 3rd. Or they may decide that viability is the issue, and so be fine with abortions late into the 2nd trimester. Or they may think that the potential for life is enough to warrant protection, and so oppose all abortions. It's a complex enough issue that even if you remove ""God says"" from the debate, the answer isn't obvious.
The point here is that while a secularist believes that ""God says"" is inadeuqate justification for forming policy, it doesn't mean that those who say ""God says"" are necessarily wrong. The religious person says ""God commands that you do not steal."" The atheist and the secularist agree with the not stealing, just for different reasons.",13,20,topic_stance_votes_1
20,secularism vs. atheism,existence of God,support,"Why not? Based on the evidence there is no evidence there is any supernatural deity that created the universe. Such evidence is unlikely to occur, ever. Based on that, I conclude there is no god.",19,21,topic_stance_votes_1
21,secularism vs. atheism,existence of God,support,Are you saying that I'm unreasonable? There is no God and you can provide no conclusive evidence that there is. Your ball....,19,22,topic_stance_votes_1
22,secularism vs. atheism,existence of God,attack,So am I reasonable to say 'there is no material world' because you can provide no conclusive evidence? Or 'there is no cause and effect' or 'there are no conscious beings except me?',22,23,topic_stance_votes_2
23,secularism vs. atheism,existence of God,attack,"On the contrary.. you can say 'there is no material world' because there is absolutely NO evidence. However, there is evidence of cause an effect, and there is evidence of 'consciouse beings'",23,24,topic_stance_votes_1
24,secularism vs. atheism,existence of God,attack,There is much more evidence for any of those than there is for any God. We can easily prove cause and effect and the existance of concious beings with the scientific method. There is zero proof for a God except conjecture.,23,25,topic_stance_votes_1
25,secularism vs. atheism,existence of God,attack,"I'll wait for Obvious Child's response - but I anticipate that you're going to get an argument that proof of cause and effect is neither easy nor possible.
And the same applies to the existence of conscious beings.",25,26,topic_stance_votes_2
26,secularism vs. atheism,existence of God,attack,You're probably right but proving either would still be easier than coming up with proof of a God or any other supernatural entity. At least our own existance suggests the it is plausible that conscious beings exist.,26,27,topic_stance_votes_1
27,secularism vs. atheism,existence of God,attack,"There is never 'proof'. But we can demonstrate cause/effect. As for 'concious' beings.. we have parameters that can indicate it.. and we can set up tests to see if those parameters are met.
We can not come up with a way to test for 'the non-material' world'. We can not agree on what the 'non-material world' is.",26,28,topic_stance_votes_1
28,secularism vs. atheism,existence of God,attack,"Alan Ryan is right: as for the scientific method, it assumes cause and effect, the material world, the reliability of future resembling past and suchlike before it starts. And how can it prove subjective mental states?
As for 'our own existence suggests that it is plausible that conscious beings exist' (I assume you mean other conscious beings), many have found their inner experience makes the idea of God seem plausible.
The material world is much like God for me. Belief in both is not proved by sense-data but is a way of making sense of it and imposing some level of order.
Whatever you mean by 'demonstrate', is this relevant to dOg's statement that there is no 'conclusive evidence' of God
What parameters? How can we test them? Ultimately, I suspect that such measures must be based on assumption: I am conscious, I act in this way, these beings seem similar, they must be conscious, these things act in a similar way, they must be conscious too.... I have studied various materialist models of mind and found none of them convincing.",25,29,topic_stance_votes_2
