,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,"500,000 Protest Against Same-sex Marriage in Spain",gay marriage,support,"http://www.cnn.com/2005/WORLD/europe....ap/index.html
Good for the Spainards! Personally, I think U.S. conservatives have gotten too complacent these days--we need to protest like this more often. We've gotten to where we lay down too easily and let ourselves get run over too easily by immoralism. These people in Spain are showing great courage--U.S. conservatives could learn a lot from them.",0,1,topic_stance_votes_2
1,"500,000 Protest Against Same-sex Marriage in Spain",gay marriage,attack,"500,000 Spaniards must be right? Hmmm...Ad Populum Fallicy at work!",1,2,topic_stance_votes_1
2,"500,000 Protest Against Same-sex Marriage in Spain",gay marriage,attack,"that was not suggested.
nothing was said about ""being right""
i see it as a comment that liberals are more likely to protest than conservatives.",2,3,topic_stance_votes_2
3,"500,000 Protest Against Same-sex Marriage in Spain",gay marriage,attack,Are you familiar with jyoshu's posting?,3,4,topic_stance_votes_1
4,"500,000 Protest Against Same-sex Marriage in Spain",gay marriage,attack,"You know that what you call ""immoralism"" is my life. Why do you hate me so much that you would be willing to deny my the happiness that you take forgranted and as your due? You don't even know me yet you are willing to defame me just because I am different from you. I don't understand how I am running over you by living my life openly and wanting the same thing as you the right to consider whom I choose to be my family. If you have an opinion about gay rights thats fine. If you want to deny me the same rights, as you take for granted, because of your opinion and beliefs though laws then that is bigotry.",1,5,topic_stance_votes_1
5,"500,000 Protest Against Same-sex Marriage in Spain",gay marriage,attack,"Spain is primarily a Roman Catholic country.......They will never let the socialists or the left allow gay marriage i nthat country...........
You can take that to the bank",5,6,topic_stance_votes_2
6,"500,000 Protest Against Same-sex Marriage in Spain",gay marriage,attack,"LOL. Do you even read what you post? You claim that they will never let it happen. Yet Spain's government IS SOCIALIST and was ELECTED IN A LANDSLIDE. Spain seems to be joining the number of countries who have realized that there is nothing wrong or detreimental about gay marriage. 
Since you made such a statement, you owe me money.",6,7,topic_stance_votes_1
7,"500,000 Protest Against Same-sex Marriage in Spain",gay marriage,attack,"66% of Spanish are in favour of gay marriage, versus 26% opposed.
http://www.miami.com/mld/miamiherald/11458133.htm",6,8,topic_stance_votes_1
8,"500,000 Protest Against Same-sex Marriage in Spain",gay marriage,attack,"Better to be complacent, then to practice this immmorality of fighting against gay people's rights for no logical, justifiable, reason.",1,9,topic_stance_votes_1
9,"500,000 Protest Against Same-sex Marriage in Spain",gay marriage,attack,"i respond to posts, not posters.",4,10,topic_stance_votes_2
