,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,One Step Closer,gay marriage,support,"Washington State Gay Marriage Ban Ruled Unconstitutional 
Olympia, Washington) A second judge has ruled that Washington state's ban on same-sex marriage is unconstitutional. 
A Thurston County judge ruled Tuesday that the state's 1998 Defense of Marriage Act violates the civil liberties of gays and lesbians under the Washington constitution. 
""For the government this is not a moral issue. It is a legal issue,"" Thurston County Superior Court Judge Richard Hicks said in a written ruling. 
Hicks acknowledged that the intent of the state's 1998 Defense of Marriage Act was very clear: Legislators wanted to limit marriage to a union between one man and one woman. But, Hicks said, that law directly conflicts with the state constitution.
""What fails strict scrutiny here is a government-approved civil contract for one class of the community not given to another class of the community,"" Hicks wrote. ""Democracy means people with different values living together as one people. What can reconcile our differences is the feeling that with these differences we are still one people. This is the democracy of conscience."" 
The case was brought by 11 gay and lesbian couples from across the state. 
The decision is the second victory for supporters of gay marriage in Washington state. A King County judge ruled in favor of gay marriage rights in a separate case last month. (story) 
Both cases will now go to the state Supreme Court, where they will likely be consolidated.
©365Gay.com 2004
http://www.365gay.com/newscon04/09/090704waMarr.htm",0,1,topic_stance_votes_1
1,One Step Closer,gay marriage,support,"That's terrific. This must be an example of one of them ""activist judges"" bushie was talking about Thursday night. Hoo Ray for activist judges! emoticonXBouncer",1,2,topic_stance_votes_1
2,One Step Closer,gay marriage,support,"Ok, maybe it's me, but I thought it was the job of a judge to be an activist. If not, then who? How are we as a nation supposed to progress if we don't first have judges who think progressively?",2,3,topic_stance_votes_1
3,One Step Closer,gay marriage,support,"I agree, the judges did their job and quite admireably IMHO. 
Bush doesn't want the nation to progress...look at the past 3 1/2 years! He's fighting it with all his might. I do believe he'd ammend the ""freedom of religion"" portion of the constitution if he could...he's really trying though with those faith based initiatives.",3,4,topic_stance_votes_1
4,One Step Closer,gay marriage,attack,"Political concerns aside, does it not trouble anyone that a single judge, or in this case two, can do as they wish with a law that was legally adopted? Cases like this only serve to illustrate the agendas that some judges exercise that are not in direct relation to the wishes of their constituents.",4,5,topic_stance_votes_2
5,One Step Closer,gay marriage,attack,"The issue is the judge does not have the right to do what he did. The same thing happened in Seattle a little while ago where a county judge made this same decision, but had it overturned. COUNTY JUDGES DO NOT HAVE THE AUTHORITY TO ALLOW/BAN GAY MARRIAGES!!!! Do you, Joebrummer and Ladywolf, know anything about law? It seems like you don't.",4,6,topic_stance_votes_2
6,One Step Closer,gay marriage,attack,"They seem to know more than you do. Let me explain how the process works. Someone doesn't like a law, and sues the government to get it changed. They start in the local courts, the judge makes a ruling, the ruling gets appealed, and up the ladder we go till it reaches the state supreme court. They get the final say. Nothing official actually happens until they make their ruling. Everyone involved here is doing exactly what they're paid to do, exactly what they're supposed to do. It's how our legal process works.",6,7,topic_stance_votes_1
7,One Step Closer,gay marriage,attack,"Nope, I think it's a great system. Politicians are held accountable by their constituents, and so often make laws based on a current whim of the mob. Judges make their rulings based on the rule of law. Important decisions get made by a panel of judges, to help eliminate the potential for bias getting in the way. The basic idea here is that just because a law was legally adopted, doesn't make it morally correct. It's the judge's job to try to strike down laws that don't meet certain standards, as spelled out in the state's constitution.",5,8,topic_stance_votes_1
8,One Step Closer,gay marriage,attack,"Obviously they don't. The lower courts cannot overrule the high courts. For instance, say Florida outlawed the death penalty. Miami cannot decide to allow the death penalty to be practiced there. They can appeal to the State Supreme Court, but nothing happens in Miami until the State decides on it. Relate this to Washington...gay marriages will continue to not be allowed until the State makes a decision. Just because some county judge who had Napoleonic complex and thought he could do whatever he pleased decided to do this means absolutely nothing!! The same thing happened in Seattle and San Francisco, and the State Supreme Court overruled the decisions. And the same thing is going to happen here.",7,9,topic_stance_votes_2
9,One Step Closer,gay marriage,attack,"The lower courts haven't overruled the higher courts. Where did you get that from? The higher courts haven't ruled at all yet. They can't until the lower courts make a ruling for them to review. Get it? And this is nothing like what happened in San Francisco. There, the mayor took the law in his own hands. Here, the legal process is proceeding as it was designed to. The county judge was asked to make a ruling. He was asked ""Is this law constitutional?"" He said no. That's his job, to make that sort of decision. His decision will then be review by a higher court after the inevitable appeal. No one is overstepping the bounds of their duty here. Everyone is doing exactly what they're supposed to.",9,10,topic_stance_votes_1
