,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Why should people be allowed to vote on my marriage,gay marriage,support,"I keep hearing the statement let the people decide or let the people vote. Why should people be allowed to vote on my marriage? No where else and in no other civil rights aspect do we see this type of statement. Wouldn't it be strange if someone said ""Let the people vote on wether a black man or jewish man can live in a certain neighborhood""",0,1,topic_stance_votes_1
1,Why should people be allowed to vote on my marriage,gay marriage,attack,Throughout history marriage has been more than a merely personal event. It had sociological importance for society as a whole. It wasn't a religious event although religion often sanctioned it.,1,2,topic_stance_votes_2
2,Why should people be allowed to vote on my marriage,gay marriage,attack,"Because Matthew, society has to take the time to define its standards. We don't start with the assumption that anything-goes; standards are developed over time. Your question is no different than the recent couple in Germany in the news who are brother and sister wondering why they should not be allowed to marry. Marriage laws have to have limits somewhere in terms of what sort of arrangements of people suffice to be considered marriage, and this is all a part of simply determining (over time) where those limits fall.
Many rights in our society DID have to go through a people-deciding process, so you are wrong that on no other issue do we see that sort of thing happening. In fact, even with civil rights itself, it happened in the form of the Civil Rights Act of 1964. It happened earlier than that with women's suffrage. Voting on civil rights is a well established precedent. Some things have become rights, some haven't. It's a process that our society goes through in defining its standards. The problem is that some in your movement seem to want to circumvent that process.",1,3,topic_stance_votes_2
3,Why should people be allowed to vote on my marriage,gay marriage,attack,"Both the examples you provide (civil rights and women's suffrage) didn't come about because those with the power decided one day to be nice. They happened because those without the power protested and challenged the legality of the discrimination. The changes were made AGAINST the will of powerful who presumed they had moral superiority on the matter. That is EXACTLY what the gay rights movement is doing. If they had to wait on anyone's leave, they would never be granted anything.
Furthmore - whether an individual deserves rights should NEVER be a voting matter. What an utterly disgusting concept.",3,4,topic_stance_votes_1
4,Why should people be allowed to vote on my marriage,gay marriage,attack,"Indeed protesting made a difference, but it didn't happen until enough people came on board. All the protesting in the world wouldn't have brought it about if the will of the people were not changing to make it happen. At the end of the day, any legislative movement needs the will of the people to be successful. It may not need a full majority in some cases, but it needs enough people on board. That's why legislation requires not only voting (by legislature), but elected officials to do so as well. There was a process our country went through on those issues as whether or not they were legitimate in terms of the law--it involved a national debate, protests, etc. Sometimes this process results in our country (the people) granting civil rights legislation, and sometimes it doesn't (depending on whether it is deemed warranted). The process (which will undoubtedly take years) is going on right now in regards to gays. Time will tell what the result will be.
Any form of legislation is a voting matter. That's the way our system works.",4,5,topic_stance_votes_2
5,Why should people be allowed to vote on my marriage,gay marriage,attack,"Why is it that whenever this comes up you insist on conflating ""the people voting on a law"" with ""the legislature voting on a law"" or ""the people electing politicians""? Why can't you simply discuss the topic at hand?",5,6,topic_stance_votes_1
6,Why should people be allowed to vote on my marriage,gay marriage,attack,In what way do you feel it is not the issue at hand? Matthew asked about voting on his civil rights and this is all part of the voting process.,6,7,topic_stance_votes_2
7,Why should people be allowed to vote on my marriage,gay marriage,attack,You actually can vote on this (of have your legislatures do it). Some issues require more than just a majority but you can still vote. If 80% of the people think all Jewish persons should live in Florida then its not looking for those Jewish persons that don't wish to live in Florida. This doesn't mean its the right thing to do but this is a flaw of democracy.,1,8,topic_stance_votes_2
8,Why should people be allowed to vote on my marriage,gay marriage,attack,"And THAT'S why we have these things called judges - so they can rule such things to be unconstitutional. And yet, for some reason, you and your fellow anti-gay people are always complaining about judges doing just that.",8,9,topic_stance_votes_1
9,Why should people be allowed to vote on my marriage,gay marriage,attack,"In exactly the way I just said. He asked about people voting on laws, not legislators voting on laws. Again, why can't you answer that question; why do you feel that it's necessary to move the topic around?",7,10,topic_stance_votes_1
10,Why should people be allowed to vote on my marriage,gay marriage,attack,"Fair enough; but regardless, the point still stands--people voting on laws is indeed allowed under our system. (Ballot initiatives.) It is all part of the process I mentioned to Matthew of society determining its standards. If you have a beef with the people being able to work toward determining our society's standards (through voting on such issues), then if I were you I'd take it up with the govt.",10,11,topic_stance_votes_2
11,Why should people be allowed to vote on my marriage,gay marriage,attack,"Or we could take it up here, like Matthew did, and discuss it. Or at least try to, and hope someone doesn't derail the conversation into irrelevant issues like how the legislature works.
I will echo the point that several have made here. The idea of allowing the masses to determine civil rights is stupid and wrong. If a group's civil rights need protecting, then they need protecting from the very masses that are doing the voting. Ballot measures may be a legal process, but that doesn't prevent them from being stupid and wrong, now does it? That's the point that's trying to be made here.",11,12,topic_stance_votes_1
12,Why should people be allowed to vote on my marriage,gay marriage,attack,"I was about to say. I agree, this is democracy, we can vote on anything, welcome to the Tyranny of the Majority. 
Kronus
Our masses, yes I agree. General masses no. The flaw of Democracy that Steve mentioned only exists in a electorate that is not suitable for such power. In a electorate of educated, tolerant people, allowing them to decide civil rights is not a bad thing.",8,13,topic_stance_votes_1
13,Why should people be allowed to vote on my marriage,gay marriage,attack,"An interesting question to bring up at this point is this: how does something become a civil right in the first place?
And in line with Steeeeve's point, supposing 80% of the people want to do something really stupid or unjust, they really could do it. I think he chose the high percentage because he is thinking of a Constitutional amendment. I think everyone would agree that it is silly to suppose that a Constitutional amendment could somehow be unconstitutional. So, to borrow Steeeeve's example, if a Constitutional amendment was passed which required all Jewish persons to live in Florida, well, that is what will happen. That doesn't make it morally right, but the Constitution has permitted injustice in the past, so it is certainly not out of the question that it would permit injustice in the future. But to reiterate a very important point: the American People have an excellent track record when it comes to fixing flaws in their Constitution, and remedying injustices allowed by their Constitution. And the overarching point that I (and I think at least Steeeeve as well) would suggest is that judges cannot legitimately overturn laws simply because they personally think the law is unjust. They can only legitimately overturn laws that violate the Constitution.",12,14,topic_stance_votes_2
14,Why should people be allowed to vote on my marriage,gay marriage,attack,"Then by your standard the only answer for a minority, that is unjustly targeted by a majority, is insurrection and civil war.
The people and the legislature are passing laws that unjustly target a minority and you are saying that that minority should not have access to the courts to rectify the injustice they suffer. I see the only answer is insurrection and civil war. Yes you are right about the american people but it takes pain to get there. Slavery was only ended with war.",14,15,topic_stance_votes_1
15,Why should people be allowed to vote on my marriage,gay marriage,support,"I am trying to understand why some people think they have a right to oppose someone elses marriage, gay or straight. Why do they think they have a right to vote on my life? I am trying to understand why it is off limits to vote that all black people should not be allowed to go into certain places yet acceptable to vote on marriage. Why is it unthinkable to vote on deporting all jewish people to south carolina yet acceptable to vote on marriage. Why is it unthinkable to vote that all religious activities take place at a certain time or not at all yet acceptable to vote on marriage? 
I know we all go around and around on this issue. What I do not seem to see from those in that oppose same sex marriage is any sort of empathy. Do they ask themselves would I want someone to deny me marriage? Would I want someone I do not know telling me I can't marry the person I love? Would I want someone elses religious beliefs to effect my family?
The whole subject is very personal, as has been pointed out, it is not a personal attack upon me but a way that society sets up its rules. Yet it feels like a personal attack. It is never easy to be the one not invited to the party, to be last or not picked to be on the team, or to be excluded from something just because of who you are.",15,16,topic_stance_votes_1
16,Why should people be allowed to vote on my marriage,gay marriage,attack,"Well, that's up to you. If you don't want to derail it, you don't have to. emoticonXAngel 
It seems to me that what is really happening in society with these ballot initiatives and other parts of the process is determining whether or not it is a civil right in the first place to give legal marriage to whatever group arrangement is in question. (In this case, gays couples.) That process has to take place; it is just not feasible in our society to give marriage equality to any group of any arrangement that comes along demanding it until we determine for certain that it needs to be done. If society determines that same-sex arrangements of two people should suffice to redefine marriage for it to be included, then so be it. But that process has to be there in some form, realistically.
If you are going to draw the line in terms of what can be voted on a ballot initiative or not, what authority determines that? How are you going to determine where that line is drawn? And you can't just arbitrarily say ""when civil rights are being infringed"" because that doesn't carry any legal weight--it's opinion. Just saying it's ""stupid"" and ""wrong"" may be your point being made, but it's a point that doesn't offer any solutions.",12,17,topic_stance_votes_2
