,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Would you be for two biologically related gay brothers or sisters to marry?,gay marriage,support,"In todays world it IS possible, unfortunately...
And if you are FOR gay marriage between two biologically unrelated gay men/women and would be FOR a ban on marriage between two biologically related gay men/women,such as brothers/sister, aunts/nieces, etc... who are you to say anything about someone who wants a ban on gay marriage, like the proposed Constitutional Amendment.
BTW, if you have no problem with gay marriage between two biologically related gay people, then you are sick. 
As well, I hear all the time that what someone does in the privacy of their own homes is their business. Would you agree in the case of two biologically related gay men/women, such as two biologically related gay brothers/sisters who are at the age of consent?
I hope not.
Lets see how many who say that it is discriminatory to ban gay marriage as with the proposed Cons. Amend. will show themselves to be hypocrites by not being for gay marriage with two biologically related gay men/women such as brothers/sisters who are at age of consent....
Lets see how many are sick enough to be FOR marriage between two biologically related gay men/women, such as brothers/sisters, who are at age of consent.
I am consistent. 
I am ONLY for traditional marriage... between a man and a woman.
No gay marriage of any type, thank you.",0,1,topic_stance_votes_2
1,Would you be for two biologically related gay brothers or sisters to marry?,gay marriage,attack,Are you for marriage between 2 biologically related heterosexuals? I'm not either. Incest has nothing to do with homosexuality.,1,2,topic_stance_votes_1
2,Would you be for two biologically related gay brothers or sisters to marry?,gay marriage,support,"Well I'm afraid I must be sick then, as I would be for both proposals. 
Though I wouldn't say those only for homosexual marriage and not to incestual are hypocrites, they are indeed two completely different things.
Why are you only for heterosexual marriage?
edit: sp",2,3,topic_stance_votes_1
3,Would you be for two biologically related gay brothers or sisters to marry?,gay marriage,attack,"Ya know, it is really funny how you use the bible as your weapon against gay marriage, but yet you are forgetting about the very beginning as the bible tells it.
""Adam and Eve"" were the only two homosapians on earth in the beginning, right? Are you with me so far? ""Adam And Eve's"" were instructed to go forth and multiply the earth. Who do you think Adam and Eve's sons multiplied with? Wouldn't it have to be their sisters? Or do you feel your ancestors multiplied with the dinosaurs? 
How about the story of Noah's ark? Noah's grandchildren had no one but the own cousins to breed with. 
The way I see it, you might want to be thanking your Creator that incest and poligamy existed in the old ""traditional"" days or your butt may not be here to breed your hate in the name of God.
As far as gay marriage leading to poligamy being legalized...that is the ""traditional way"" back in the old testiment. Many men had more than one wife. 
So if you want to use your bible as a weapon against gay marriage, and if you fear this all leading to incestial marriage or poligamy, what is going to be your weapon against stopping that? You won't be able to use your bible as your weapon because incest and poligamy stories far out number your arguments against them.
I would say you better get to finding a new weapon if this is your fear. 
Tell me, how does it feel to fear the future so much? Your insides must be tormented and in a dis-ease on a constant basis beings you are not able to force your beliefs and ""morals"" on everyone. Did you know that dis-ease causes disease? 
Just to clarify my position a little better...who people fall in love with and marry, is not my business. (or yours, contrary to what you might think.)
Love is never wrong...God is love. Only people's false concept of what love really is, is the problem we face in this world.
Lilac Angel",1,4,topic_stance_votes_1
4,Would you be for two biologically related gay brothers or sisters to marry?,gay marriage,attack,"No, I am not for marriage between two biologically related heterosexuals. The law allows that second cousins may marry, but to me that is still wrong...
Go check out my thread...""Will you sign NoGayMarriage Petition"". go to page 8
Check out responses #115 and #116.
That is why I started this thread.
I was shocked.... I wondered if others had similiar views concerning allowing biologically related brothers being allowed to marry...",2,5,topic_stance_votes_2
5,Would you be for two biologically related gay brothers or sisters to marry?,gay marriage,support,"Don't be stupid angel, everyone knows the dinosaurs never existed, the skeletons were just put there by God to test us :p",4,6,topic_stance_votes_1
6,Would you be for two biologically related gay brothers or sisters to marry?,gay marriage,support,"Hmm, I did check out the other thread, where you posted:
This would be the Bible in which:
So both daughters get daddy ******, shag him and get pregnant. And considering that God smites people for just about anything and everything in the Bible, he seems silently approving in this case.",6,7,topic_stance_votes_1
7,Would you be for two biologically related gay brothers or sisters to marry?,gay marriage,attack,"If God was silently approving I doubt He would have have the the case of Lot and his daughters in the Bible. Case in point, be careful what you environment you let your children be exposed to. Well, if you did truly check out that thread, would it be ok, in your opinion, for two biologically related brothers to engage in sodomy in the privacy of their own homes?
Incest happens with heteros and homos, unfortunately.
They can't have children so the incest law would not apply, and they aren't any less gay than two biologically unrelated gays.
Well, what's your answer? You commented thrice, do it again.",7,8,topic_stance_votes_2
8,Would you be for two biologically related gay brothers or sisters to marry?,gay marriage,attack,"I will indeed.
I approve of any sexual act between adults providing it is will the full consent of all involved parties, and has no adverse affect on others. Quite what people do to each other behind close doors is their own business.
I further support the rights of people (note I said people, not two people) in a consenting, loving relationship to have the support of the government in providing full marital (or whatever you want to call it) support.
Marriage is no longer about God, it is about creating a stable and supportive relationship between people.
There, I think that shows my exact stance on the matter.
And like I say, in every other instance God explicitly spells out his disapproval of human actions (yes including homosexuality). He does not here, therefore it is implied he approves. In the context of the chapter it is seen that the daughters did the right thing in allowing their lineage to be preserved. Further, as angel points out, why would he have made only two original humans, therefore creating the necessity for incest from the outset?
One cannot use God to confirm one's prejudices in one case and twist His word when it doesn't confirm another",8,9,topic_stance_votes_1
9,Would you be for two biologically related gay brothers or sisters to marry?,gay marriage,attack,"Actually it seems you are the one that is sick. You have this obsession with what others do with their sex life and want the government to try and prevent any kind of sex you don’t approve of. It looks like you are trying hard to repress homosexual desires you have. Otherwise why do you care what others do when it doesn’t affect you?
I'm not for or against what other adults do with their consentual sex life. It's none of my business.",1,10,topic_stance_votes_1
