,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,A Sensible Age to own a Gun,gun control,support,"Here in Australia we have sensible age limits on Gun Ownership
We don't have the problem the USA has with ever more youthful drug dealers and school shootings. But your country is not wanting to stop those. Are they?
I am talking about the age being 18 to own a gun not Kids as Young as 11,
and 18 seems to be
a realistc age for gun ownership and military service 
Your post sAYING ANY AGE Is more than the ######## you always go on about. Its evil.
You want to see the killing of our kids as well 
Your insulting remark about military service also shows your
ingnorance about my country.
Many of our young people have fought and died in Wars
and some of Your Wars
with guns.
And At least we all vote here at an early age.
In Australia Guns are sensibly restricted to younger age groups. 
Its a set of Gun Death statisics You have in the the USA we dont
have or need.
3 OR 4,000 young people a year isnt it?emoticonXKill 
------------------------------------------
*:-.,_,.-:*'``'*:-.,_,.-:*'``'*:-., 
""Does a gunbuyback Work?
Do Bears #### in the Woods? 
Aussie gun controls have made remarkable 
reductions in gun deaths A Gun was involved in 18% of 
murders, 10% of murders and 5% of robberies. These falling figures are 
the lowest on record . 
*
Oh sorry officer.............
I Didn't know the Gun was loaded",0,1,topic_stance_votes_1
1,A Sensible Age to own a Gun,gun control,attack,"the only legal way for some one under 18 to get a gun is from there mom or dad. no one at 11 can legaly buy any type of firearm.
in the US a 17 year old can join the survice, with parental consent
there are less than a thousand accadental discharge deaths in 2002 (last year that numbers are avabule) the CDC age groups do not lend them selves to supprating under 18 and over. there age groups are 15 - 25. there were 349 kids 14 and younger killed with guns (incluged both homicide and suicide)
the 15 - 25 age groupe jumps into the thousands, but we need to remember that this age groupe includes most of the gang and other crime related murders.
sorce, see page 32.
http://www.cdc.gov/nchs/data/nvsr/nvsr53/nvsr53_05.pdf
so is it better to be murdered by a knife than a gun?
final thought, you are advacating removing hundrides of millions of dollers of property from millions of legal gun owners, becouse of thousandes of scum bags.",1,2,topic_stance_votes_2
2,A Sensible Age to own a Gun,gun control,attack,"What are those limits?
You can't buy a gun at 11. You can join the military at 17.
What?
Yes. It's part of this massive conspiracy. We're trying to thin out your population so we can take Australia for our own. emoticonXGood 
Who are you addressing?
What is this ""early age"" you speak of? In the US citizens can vote at 18.
I'm going to assume you meant from.",1,3,topic_stance_votes_2
3,A Sensible Age to own a Gun,gun control,support,"We have all sorts of laws in the USA that limit access to guns. Youngsters can't lawfully buy handguns. The trouble is that people who intend to commit crimes with a gun have already decided that laws don't apply to them. If a young fellow plans to rob a store, or shoot a homey, he's not going to be thwarted in his quest for a gun by a law that says he can't have it.
Our problem with crime is that we are way too lenient with young, first-time offenders. We give them too many chances before we lock them up for a long time.
Most violent crime is committed by a very small percentage of the population. Lock up that small percentage --or as many of them as we can catch-- and crime rates would plummet.
It has nothing to do with guns, as such. They also use knives, baseball bats or just gang muscle. It's a PEOPLE problem.",3,4,topic_stance_votes_2
4,A Sensible Age to own a Gun,gun control,support,Well I'm not advocating this but technically doesn't the Constitution dictate than anyone from birth should be able to own a gun? The second amendment guarantees the right of everyone to bear arms (actually prohibits ANY restrictions against keeping and bearing arms) and the 14th amendment defines a citizen to be anyone born or naturalized in the US.,4,5,topic_stance_votes_2
5,A Sensible Age to own a Gun,gun control,attack,This is not what the Supreme Court has ruled regarding the Second Amendment.,5,6,topic_stance_votes_1
6,A Sensible Age to own a Gun,gun control,attack,"I understand that, and although I understand case law has become important, I ask where the Constitution gives them that power. They are to interpret the Constitution, not decide what they think it means. There are some vague places, like what constitutes a reasonable search and seizure. That's up to them to interpret. But the second amendment is VERY clear.
""A well regulated Militia, being necessary to the security of a free State"" - dependant clause explaining why this action is necessary
""The right of the people"" - assuming all citizens are people, a newborn baby is a person
""to keep and bear Arms"" - this would include any gun
""shall not be infringed"" - infringed means not even slightly regulated.
How much clearer can it get? Can someone else come up with an alternative meaning to this statement in plain English? I'd like to know, because so far all I've heard is that ""They couldn't possibly have forseen today's weapons"". And that is pure emoticonXCensored because this is a principle here. If the weapons exist, the people have the right to keep and bear them. If we want to amend the Constitution, it's 2/3 of Congress plus 3/4 of the people. Honestly why don't we do that? I think we have enough people against kids owning guns to pass an amendment to the second amendment or else the 13th saying that kids don't have quite as many rights. But as of now, unless someone can explain to me my error in logic in interpreting an english phrase, prohibiting a kid from owning a weapon is unconstitutional (note schools can ban them as can any other place, but we can't ban them in public).",6,7,topic_stance_votes_2
7,A Sensible Age to own a Gun,gun control,attack,"Um, that's what interpret means...
Zach, the general approach to such issues is to look at the intent of the people who wrote the law. If I may, I will paste something I've written elsewhere:
Of course, it was a bit more clear in the context of the other conversation, but this should suffice.",7,8,topic_stance_votes_1
8,A Sensible Age to own a Gun,gun control,attack,Everyone should be carrying a gun at all times by age 3. You never know when those molesters could come around.,8,9,topic_stance_votes_2
9,A Sensible Age to own a Gun,gun control,support,"It seems inconsistent to think that the Second Amendment has something to do with the right of an organized group, maybe even a group under the supervision of the state government, when all the other amendments are so clearly aimed at protecting the rights of individuals.
And let's not forget the Ninth Amendment. Interpretations of the Constitution that reduce rather than enhance the rights of individuals seem to me to be running in the opposite direction from freedom, and toward state interference in our lives.
I agree with the Declaration of Indepedence that we each and every one have a right to LIFE and to LIBERTY. It's a hollow declaration of rights if the state can arbitrarily deprive us of the instruments best suited for protecting life and liberty.",9,10,topic_stance_votes_2
10,A Sensible Age to own a Gun,gun control,support,"would that also mean that conspiracy to commit a crime is protected under the first amendment, along with verbal threats, and polygamy?
none of the amendments are unlimited, there are restrictions on them, that we all live with.",10,11,topic_stance_votes_2
