,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,A question for supporters of gun control,gun control,support,"Just what makes you think that outlawing guns will do any good? Why do you think that making guns illegal would make it harder for criminals to get them, or might encourage them to stop using them?",0,1,topic_stance_votes_2
1,A question for supporters of gun control,gun control,attack,"Do you have any idea how many handguns are stolen from the registered owner annually in the United States? Something like 200,000 I believe.",1,2,topic_stance_votes_1
2,A question for supporters of gun control,gun control,attack,"Look you baboon, I don't want nonsense I want answers. What makes those here in favor of gun control and gun bans believe that by outlawing guns they'll make things better for everyone?",2,3,topic_stance_votes_2
3,A question for supporters of gun control,gun control,attack,"Well that was a good start. Are you planning on insulting everyone who replies to your post?
Of course it would be more difficult for criminals to get hold of guns if there were fewer of them around. It would also make it more difficult for children to get hold of them, or feuding neighbours who, on the spur of the moment, think that waving a gun around might bring about a solution to their problems.
If you don't think you're going to like the answers to your question, then don't ask the question.
Smiley",3,4,topic_stance_votes_1
4,A question for supporters of gun control,gun control,attack,"He has a baboon picture for his avatar.
We're not talking about there being less guns around, we're talking about them being made illegal to own.
Cocaine is already illegal to own. Crystal meth is already illegal to own. Marijuana is already illegal to own. But guess what, criminals STILL have these drugs and use them regularly!
Tell that to people in D.C. who still have their children die from being shot.
Tell that to the people in D.C. who need gun shot sensors.
Is that why you anti-gunners never ask questions, just spout nonsense?
Prozac.",4,5,topic_stance_votes_2
5,A question for supporters of gun control,gun control,attack,"First off, I would like to see a statistic for this 200,000 number, and if true, then I would like to see why that isn't more of a reason to stay armed so as to defend oneself from all of those newly armed criminals who now possess stolen weapons? 
And welcome to the forum Ghost Rider, just remain calm, make your points and all will be well with you.",2,6,topic_stance_votes_2
6,A question for supporters of gun control,gun control,support,"Firstly, sinjin is not a baboon. His avatar is colorful, but not indicative of his mental capacities. Be nice, or you'll get banned.
I think he is alluding to the obvious fact that if people had not been allowed to purchase and register their guns, some 200,000 guns/year would NOT have been stolen, thus some 200,000 guns/year would be removed from the cache of guns available to criminals.
However, the falacy of that thought is that guns are in demand by criminals...they will be procured by criminals whether they steal them from law abiding citizens or purchase them on the black market from other criminals.
Outlawing guns will only remove them from law abiding citizens. The criminals will be unaffected.",3,7,topic_stance_votes_2
7,A question for supporters of gun control,gun control,support,"Precisely Jim, if criminals cared about the law then they wouldn't be stealing guns to begin with.",7,8,topic_stance_votes_2
8,A question for supporters of gun control,gun control,support,"...and you have a flaming skull for yours...does that mean your brains have been burned out?
That would be fewer guns, not less guns. Where did you go to school? What part of ""these 200,000 guns would not be available to criminals"" did you not understand? His point is that SOME, albeit small...impact would be made on the criminal's ability to procure weapons by removing the registered weapons that are about to be stolen and passed out through the black market.
Supply and demand at work.
There you go again...claiming nonsensical statements have been made when there is a valid point made.
Removing guns from law abiding homes would certainly decrease the incidences wherein a child finds daddy's gun and shoots a friend, a sibling or himself. The gun-control advocates make a few points now and then, but they overlook the most obvious fact in the argument. Outlawing guns will not decrease the availability of guns to criminals.",5,9,topic_stance_votes_2
9,A question for supporters of gun control,gun control,attack,"""From 1985 to 1994, the FBI received an annual average of over 274,000 reports of stolen guns.""
http://www.ncjrs.gov/txtfiles/165476.txt
I'm guessing this continues.",6,10,topic_stance_votes_1
10,A question for supporters of gun control,gun control,attack,"Thank you JT. For the record I support the gun enthusiast's interpretation of the 2nd Amendment.
Precisely so.
The ""black market"" doesn't deal in homemade weapons. They're stolen for the most part too.",7,11,topic_stance_votes_1
11,A question for supporters of gun control,gun control,support,"The part I don't understand is how outlawing guns would actually keep them out of the hands of criminals. Would outlawing guns magically make them vanish from existance? No. Will outlawing guns convince criminals to turn theirs in? No. Will outlawing guns make the hundreds of thousands currently stolen firearms that're circulating the underground market networks inaccessible to criminals? No. Will it make it easier for the police to take guns out of the hands of criminals? No. Will it help locate the tens of millions of illegal guns circulating in this country? No.
So obviously outlawing guns will have no positive benefits.
Why would anybody register weapons if they were just going to illegally sell them to somebody on the black market?
And criminals demand guns, so somebody will always be supplying them.
Valid point? I see NO valid point anywhere. Outlawing guns will not make them inaccessible to criminals.
So would parents educating their children early and often of the dangers of playing with guns. That way maybe they won't find a stranger's gun hidden in the park and think it's a toy.",9,12,topic_stance_votes_2
12,A question for supporters of gun control,gun control,attack,"And if they're stolen that means that they're illegally possessed by a currently illegal supplier. And since they're illegally possessed by an illegal supplier, that means that they're obviously not bothered by the current laws cocnerning firearms possession by criminals, meaning that banning gun ownership won't even make them blink.",11,13,topic_stance_votes_2
13,A question for supporters of gun control,gun control,attack,"Who do you think they stole them from? Hint: They didn't have to go far. I needn't worry about you stealing my apples if I have no apple tree. If the supply of weapons is reduced demand is unchanged, granted. The ability to satisfy that demand is though. We can't do anything immediate about the guns already out there in the hands of criminals. NSS! We can over time make it harder and harder to get one. 
How would you feel about steep fines for losing a registered weapon regardless of how?",13,14,topic_stance_votes_1
