,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,"Thoughts on Bowling for Columbine, violence, and the gun culture in America",gun control,support,I saw Bowling for Columbine. It was excellent. It showed how many Americans have this idea that problems are solved with violence. That's the way that problems are often dealt with domestically and overseas. That's why America drops so many bombs on people in foreign nations and kills them. They interviewed some Canadians in the film and the Canadians says that they like to negotiate and work things out. That's the way they solve problems- not through violence and killing people. I think this is very relevant to the gun culture in America. Those in the gun culture tend to have the attitude that problems can be solved with violence- thus the necessity of owning an instrument of death and destruction. I remember that Michael Moore went into the house of one gun owner and the gun owner showed him the loaded gun that he slept with under his pillow. I think that's dangerous and totally stupid to sleep with a gun under your pillow. The film also examined famous people from the gun culture like Terry Nichols and Timothy McVeigh. Moore also accomplished some good things. He went to K-mart with some victims of Columbine and convinced K-mart to stop selling handgun ammunition.,0,1,topic_stance_votes_1
1,"Thoughts on Bowling for Columbine, violence, and the gun culture in America",gun control,attack,"Hey notice the two different suits Heston is wearing in his supposed Denver speach? Do you suppose if I use the same editing techniques I can use Moore's speeches, edit them, and get him to say ""Fu** the poor""?
I don't have the ""attitude that problems can be solved with violence"". When I'm on the rifle range with an asault weapon, I have to concentrate, meditate, and control my body with extreme discipline. There is nothing on my mind except meditation and relaxation. If I'm thinking of anything else I don't score points. Your entitled to your opinion and how you choose to sleep. When your opinion and your actions affect what is happening in my bedroom, then your violating my rights, and YOU need to be controlled. Please explain how I violate another person rights with a gun under my pillow? If you don't want to be shot, then stay out of my bedroom while I'm sleeping, you don't belong there. So I don't understand your justification to restrict my behavior in my bedroom. Although it is quite clear to me if you get your way, YOU need to be restricted.",1,2,topic_stance_votes_2
2,"Thoughts on Bowling for Columbine, violence, and the gun culture in America",gun control,attack,"lol... maybe its me, or maybe you guys missed the point of the movie. the problem isnt people sleeping with guns under their pillows, or owning guns at all for that matter. Michael Moore showed that in the cities and suburbs of Canada there is a substantial gun ownership. people with guns on them at all times doesnt equate to people that are most likely to shoot you.
the point of bowling for columbine is that america is so trigger happy because the media perpetuates a paranoia that everybody is out to rob you. people in the US are afraid of each other. thanks to the media, people afraid of the subways, parking lots, the parks, nightclubs and neighboorhoods where blacks are the majority. its not that these places are inherently more hazardous, its just that the media continuously highlights the hazards
now everybody is so tense and jumpy, that its no surprise people get shot regularly. that was the point of the movie, and if you missed that message then you should look at it again",2,3,topic_stance_votes_1
3,"Thoughts on Bowling for Columbine, violence, and the gun culture in America",gun control,attack,I didn't say your violating other people's rights. I just said it's stupid.,2,4,topic_stance_votes_1
4,"Thoughts on Bowling for Columbine, violence, and the gun culture in America",gun control,support,"Yup, and that's why they sleep with guns under their pillow because they're tense, jumpy, and paranoid.",3,5,topic_stance_votes_1
5,"Thoughts on Bowling for Columbine, violence, and the gun culture in America",gun control,support,Michael Moore's work treads a fine line between documentary journalism and commercial film making. The sensationalist way in which he tackles the subject matter is possibly undermining any social message he is trying to get across.,5,6,topic_stance_votes_1
6,"Thoughts on Bowling for Columbine, violence, and the gun culture in America",gun control,attack,"I agree. I wouldn't have minded Bowling so much if he had either made a documentary or made a commercial film. In the end, the message wasn't that bad. For all intenst and purposes he said exactly what the pr-gunners have been saying for years, which is that guns don't kill, people kill. 
Now, he took a kind of roundabout means of getting there, but that was more or less the conclusion of the film. Our society is a messed up place and people are scared. I am not sure that he is right that they have no reason to be (just look at our crime statistics).
Watching the film, it almost looks like he set out to make one movie then ended up making another. The first 2/3 of the film certainly seemed like the message was ""guns are evil"". It wasn't until the end that you come to the revelation that his message is not ""guns are evil"". 
The sensationalist methods he used in the film, IMHO, pretty much strike it from the ""documentary"" list.",6,7,topic_stance_votes_2
7,"Thoughts on Bowling for Columbine, violence, and the gun culture in America",gun control,attack,"Yes, the gun control issue is an important one that has to be discussed, I'm just wondering if he's the person that should be doing it. On the plus side his work does reach a large audience, so it brings the matter to people's attention and maybe they will have something more to think about when they vote on local laws etc. But back to the Columbine film it is fragmented, and in some ways it over simplifies things. 
That's the double edged sword of this kind of thing, pure documentary would put people to sleep, but without restraint you end up with something that's an alternative to watching a Rolling stones concert on an I Max cinema screen.
Moore had an episode of Oprah Winfrey devoted to showcasing the Columbine work. That's fine, but his rantings at award ceremonies and the trailers for his latest film (which have the style of a trailer for something like Charlie Sheen's Hot Shots), that's all something else. It makes it hard for me to take what he shows seriously.",7,8,topic_stance_votes_1
8,"Thoughts on Bowling for Columbine, violence, and the gun culture in America",gun control,attack,"Since last summer, there have been two killings next to my home. One less than 100 ft from my front door. The other a couple of hundred yards away. Within 10 miles there is a serial gang of home invaders. Averaging about 1 invasion every 2 weeks. They have stopped for now, but who knows, they haven't been caught. In 7 years I have had to defend agains 2 car jackings. One in my drive way, another on a city street that was stopped as I reached for the glove box. Just the act of reaching for the glove box changed the situtation. I never got to the point of a threat? So was it a car jacking? Who knows maybe it wasn't. The last place I lived, the police station was 100 yards away. The day 30+ cars were vandalized, the next month I moved away. I now live in gated community with a guard. It is some measure of saftey. Hey do you really think a security guard is going lay down his life to save mine? Even with the guard and gate, the dead bodies are just outside the gate.
I say your analysis of my sitution is stupid. Just like prejudice it is based on a lack of information. Even tough it is still your right to an opinion, stupid or not. You say it is stupid? By what measure? 
I say your stupid because you don't have all the facts.",4,9,topic_stance_votes_2
9,"Thoughts on Bowling for Columbine, violence, and the gun culture in America",gun control,support,"Don't count on them being caught any time soon. with a nationwide conviction average of less than 1 in five, the odds are with the criminals. Kepp 'em close and keep 'em loaded.",9,10,topic_stance_votes_2
