,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,"UK ""knife culture""?",gun control,support,"I was doing some research on the crime rate in the UK, and stumbled across this page:
Knife Culture.
I hope it'll stimulate some thought and discussion on the issue. Thanks for reading!",0,1,topic_stance_votes_1
1,"UK ""knife culture""?",gun control,support,"My first thought is whether a security company is a reliable source, given they have a vested interest in promoting paranoia.",1,2,topic_stance_votes_1
2,"UK ""knife culture""?",gun control,attack,"This prompted me to google ""Knife attacks Britain"" which revelaed:
Knife attacks surge 73% as amnesty fails (Times Online)
http://www.timesonline.co.uk/article...304912,00.html
THE number of crimes involving knives on the streets of England and Wales has risen dramatically in the past year, with huge increases in their use during robberies, mugging and violent attacks on strangers. 
Attacks in which a knife was used during a mugging rose by 73 per cent while there was a 55 per cent increase in random attacks with knives on strangers
And
Blade culture has us all in its thrall
http://www.timesonline.co.uk/article...209635,00.html
A spate of stabbings is intimidating many into not going to the aid of those in trouble. Giles Hattersley finds out why so many young people feel obliged to carry knives.
I suppose when Britain bans knives we will see a sharp increase in the number of crimes involving the jawbone of an XXX or similar biblical bludgeoning brickbats.",2,3,topic_stance_votes_2
3,"UK ""knife culture""?",gun control,attack,"Carrying knives is already banned, and is largely a problem confined to large cities. Which is where the media is based. You work it out.
Also, did you miss the part about a ""decade of decline"" in knife crime?",3,4,topic_stance_votes_1
4,"UK ""knife culture""?",gun control,attack,"Ah, where would we be without knee-jerk legislation.;) 
They're currently attempting to ban samurai swords, or cheap imitations of samurai swords. 
http://news.bbc.co.uk/1/hi/uk/7139724.stm
http://www.telegraph.co.uk/news/main...samurai105.xml
http://www.gnn.gov.uk/Content/Detail...8&NewsAreaID=2
cue responce in bad lip-sync...",4,5,topic_stance_votes_2
5,"UK ""knife culture""?",gun control,support,"Homicide where method of killing was a sharp instrument
1999/00 - 213
2000/01 - 214
2001/02 - 261
2002/03 - 265
2003/04 - 242
2004/05 - 256
2005/06 - 212
http://www.homeoffice.gov.uk/documen...07?view=Binary",5,6,topic_stance_votes_2
6,"UK ""knife culture""?",gun control,attack,"Good thing they banned the carrying of knives. Must make everyone feel safer to know that only criminals are conducting the knife attacks. 
Perhaps GB should require background checks before the purchase of culinary implements? Sadly that would never work as most criminals would simply steal the knives from steakhouses. Irresponsible kitchen owners!",4,7,topic_stance_votes_2
7,"UK ""knife culture""?",gun control,attack,"Fortunately we don't have many stakehouses :p . I think it is interesting that gun nuts always claim that when guns are banned people will just use knives instead, yet we find that with guns prohibited there are still only 200 deaths a year from knife like weapons. Currently you have to be 18 to purchase knives beyond a certain size, much like with alcohol and products containing solvents.",7,8,topic_stance_votes_1
8,"UK ""knife culture""?",gun control,attack,The numbers are so low that people with mental illness make up a significant proportion. Between them and drunks the infamous hoodie is essentially media hype.,8,9,topic_stance_votes_2
9,"UK ""knife culture""?",gun control,attack,"OK. Here we have a prototypical slight of hand technigue. Watch how it works. 
First distract your opponent with a slashing personal attack. Call your opponent a gun nut. While he is sputtering, change the argument. “Only 200 deaths a year from knife-like weapons.”
See? Now you think that knives were only used 200 times last year in all the Realm. But now… The rest of the story. 
On first glance it may make you feel better to know that knives were used only in only 7% of the 2.4 million violent crimes committed in 2004-2005 in the UK. So if you were one of those 168,000 victims of knife crime, consider yourself unfortunate, but alive.
AHA!!! The Gun nut admits defeat!!! Oh Rapture!!!
Not quite. Bear with me. As Columbo would say ""Just one more thing"".
What are you talking about??? You're a gun nut!!! You're just showing that knives are not the problem!!!
Indeed. That has been my point all along. You do not blame the tool you blame the hand that wields it. The larger question here is what the hell are you guys wounding each other with? Not knives or guns! You are going to have to ban a whole some more stuff to ensure your safety. Apparently folks are going at it with candlesticks and lead pipes and all other non-banned Clue pieces. 
Which prompted me to investigate violent crime rates per capita. Guess what I found:
http://www.homeoffice.gov.uk/rds/pdf...1206chap78.pdf
Pg 119. Violent crime rates 2,300 per 100,000.
Now compare that to the FBI data for the US. Note: 2005 is the last year for which data is available. http://www.fbi.gov/ucr/05cius/data/table_01.html
Violent crime rate, US = 469.2 per 100,000.
Wow.
A nation of Gun nuts has 469.2 violent crimes per 100,000 while our gentle gun-banning erstwhile countrymen have 2300.
Wow.
It would appear that it is the Brits, rather than “the Gun Nuts” who “claim that when guns are banned people will just use knives instead”. Apparently they have moved beyond knives and are simply using whatever tool is available to commit violent crime. They are succeeding at a rate nearly 5 times that of the US ""gun culture"".
How marvelous.",1,10,topic_stance_votes_2
10,"UK ""knife culture""?",gun control,support,"You can't accuse others of 'slight (sic) of hand' and then produce this! The same Home Office survey you linked to shows: 
17% of total violent crime was 'common assault with NO injury' (i.e. pushing and shoving, spitting at someone or verbal abuse) 
43% was 'common assault with less serious injury' (e.g, a scuffle outside a bar)
20% were 'harrassment - no injuries suffered.
5% were 'other violent crimes' including carrying a weapon.
Only 2.1% of all violent crime led to a serious injury.
The weapon most commonly used is, of course, the fist - in 78% of all cases. 
In order to make this comparison make any sense we need to know how the FBI defines violent crime.",10,11,topic_stance_votes_2
11,"UK ""knife culture""?",gun control,attack,"To be honest I'll put up with relatively large numbers of non-serious violent crimes if it means we avoid the massive number shot dead in the US. All these statistics prove is that somenody feeling angry and violent in the UK is likely to punch someone. Assuming that person isn't particularly fragile, it's unfortunate but not a major problem. If, as the gun nuts advocate, they're carrying a concealed handgun, the chances of them causing death or serious injury skyrocket.",11,12,topic_stance_votes_1
