,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Viva La Liberty! The End Of The Awb Is At Hand!,gun control,support,"The battle has been won, but we are still in a war for our liberties. With the ""
Assault Weapons"" ban about to expire we have truly taken a step foward in regaining our Liberty!",0,1,topic_stance_votes_2
1,Viva La Liberty! The End Of The Awb Is At Hand!,gun control,support,"but now full automatic uzi 47's will be runing arount spraying there 16 in shells all over the street, no one is safe!!! emoticonXKill emoticonXChicken",1,2,topic_stance_votes_2
2,Viva La Liberty! The End Of The Awb Is At Hand!,gun control,attack,"come on, everyone knows that uzi's are used for hunting and target practice!
[btw- if you were shooting for french it's ""liberté"" but who cares]",2,3,topic_stance_votes_1
3,Viva La Liberty! The End Of The Awb Is At Hand!,gun control,attack,"Actually, a guy I talked to used a .40 S&W UZI carbine for hunting deer in southern Florida. I also have some .mpgs of people using them in timed competitions, even with *gasp* silencers. FYI, you can still buy UZIs, you always could. They just can't be imported anymore. Want to buy one? Check these guys out: http://www.vectorarms.com/guns/UZI_Page.htm Are you still sure the AWB is preventing lunatics from going on shooting sprees in the streets? If so...
What did the AWB do? How about a little bit of ""show and tell"".
http://www.markii.org/images/aw.jpg",3,4,topic_stance_votes_2
4,Viva La Liberty! The End Of The Awb Is At Hand!,gun control,attack,"Why would I need an UZI? So I can pawn it? So someone can break into my house and steal it while I'm at work? 
Why would anyone use an UZI to hunt deer? Aren't those things not so accurate?",4,5,topic_stance_votes_1
5,Viva La Liberty! The End Of The Awb Is At Hand!,gun control,support,"i never liked crome barrels on the AR, i have a carry handle and press on flash supresser. hopeful i will be building a handgun AR soon.",4,6,topic_stance_votes_2
6,Viva La Liberty! The End Of The Awb Is At Hand!,gun control,support,"why do you need a SUV, a house, anything for a hobby? 
why do you need rights?
why do you think we need the goverment to play perant to us?",6,7,topic_stance_votes_2
7,Viva La Liberty! The End Of The Awb Is At Hand!,gun control,attack,"I don't need an SUV.
I need a house for the obvious reasons.
I don't think the governement should be our parents but they are. When drugs are legal, you can have your UZI. When I don't have to pay FICA, you can have your UZI. When titties can be shown on TV, you can have your UZI. Actually, no one can stop you from buying your UZI anyway.",7,8,topic_stance_votes_1
8,Viva La Liberty! The End Of The Awb Is At Hand!,gun control,attack,"You do realize that we aren't talking about machineguns don't you? Uzi's and AK-47's fall under different regulations and are NOT affected by the AWB.
We are talking about firearms that only ""look"" like MG's but that's it.",8,9,topic_stance_votes_2
9,Viva La Liberty! The End Of The Awb Is At Hand!,gun control,attack,"sorry, I was spilling over from another thread
yea, i am one of the multitude that had no idea about the AWB until a few days ago, when I hear ""assault weapon"" I immediately picture a fully automatic high-power rifle with a huge clip (a machine gun, if you will)
apparently, (and perplexingly) that's not what was banned under the ""assault weapon"" ban (tip: don't listen to me, i have no idea what i'm talking about on this one)",9,10,topic_stance_votes_1
