,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Why do you want to take my guns?,gun control,support,"The issue revisited, 
Why are there people who want to take away my guns? I have an ""assault rifle"", an “assault shotgun”, and hand guns. All three of these types of guns are under attack and I would like to know why you think that they should be “off the streets” or banned?",0,1,topic_stance_votes_2
1,Why do you want to take my guns?,gun control,attack,"This is probably going to be a short thread. I just don't have a reason that you would consider ""good"". I doubt I can offer any new insight that you haven't heard before.
It's just that everything has consequences. I know that you're just having fun. But your fun has cost a price that's too high. We all have to pay the price if only in fear.
Crime goes on. I know that. Example: I was in Belgium. My husbands pocket got picked. They're good. They have a skill. Here in America, robbery is scarey. There, it's a travel story. Almost a fond memory. It was only about $20 and we laugh about it.
I suppose at this point there's no point arguing the subject. The damage is done. There are so many guns on the streets, that if the honest people turned theirs in the criminals would still have the rest.
I just don't honestly understand why we have to wrangle so about registration and waiting periods. Why do honest people have to have their newest toy TODAY. And why does it have to be a secret that they have it. I know what I'm afraid of. What are you afraid of?
A little common sense would go a long way. The words are there, in the constitution. I'm stuck with it. Although I don't honestly think they ever envisioned a car jacking with teflon bullets. They envisioned the citizenry rising up if those dang red coats ever came back.
I was kidding before. Sex will be outlawed before the guns are gone. So relax. Now there's a thought. Sex starved people with guns. That's something to really be afraid of. LOL
P.S. I have an arsenel, too. Mostly antiques from dead relatives that used to hunt. Wouldn't matter to me at all of they were all gone. It was years of trying to make sure the children didn't find them.",1,2,topic_stance_votes_1
2,Why do you want to take my guns?,gun control,support,"Ok. Now I'm laughing really hard. Truly.
I actually just read a post by a guy who thinks that we could use them to overthrow an oppressive government. Please don't. My city will look like Fallujah.",2,3,topic_stance_votes_1
3,Why do you want to take my guns?,gun control,attack,"there are few reasons i could think of outlawing guns as good, and there are likly as few that i could use to convence you we need less controles on guns. i am not trying to change your mind, i am trying to understand your position.
i worry that the same law makers who push for registration are the same ones who want to ban all guns. for an example ""If I could have gotten 51 votes in the Senate of the United States for an outright ban, picking up every one of them, Mr. and Mrs. America, turn them all in, I would have done it.""
-Senator Dianne Feinstein, D-Calif, discussing the 1994 ""crime bill"", one of the largest gun control bills of the last 30 years.
this was said in '94 on onr of the news shows (i will dig up a link if you would like.) Senator Feinstein had one of the few permits to carry conseled weapons in San Fransco. this is who i am afraid of, add to the lits Rosie O'Donald, guns are bad, and no prites person needs one, unless they are the guards for my famley.
there is a large diffrance between illegal guns, and legal guns. i would have no problem with wating periods for a gun if it served a porpose. to get a gun today from a dealer your name is processed through the FBI to see if you have a criminal record, in about 30 seconds.
you could just send them to me, i could add them to my dubble locked collection.",3,4,topic_stance_votes_2
4,Why do you want to take my guns?,gun control,support,"There's always been an amazing pattern of those who seek to take freedoms of others, fully expect to keep those exact same freedoms for themselves.
Why do some people want to take away your guns? Think about this - we have many areas with seat belt laws for cars, but no areas with smoke detector laws for homes. Why? - what's the difference? We have many areas with auto emissions testing, but no areas with chimney emissions testing for homes. Why? - what's the difference? The difference is that it's a lot more risky for any branch of government, local or federal, to inspect and control the homes of an armed citizenry, than it is to inspect and control people and their cars, when the carrying of guns in cars (in public in general) is largely outlawed. 
The outlawing of guns, and an increased presence of government in our homes, go hand in hand.",4,5,topic_stance_votes_2
5,Why do you want to take my guns?,gun control,support,"the number ok people killed and injured, on the tax payers dime.
you have to pay every year for the car, and have am easy to regulate the areas where indistry pollutes more.
and to think we got back a few gun rights, and we still have the patriot act.
i know all the reasons given for why ""THEY"" want to disarm us, what I am trying to understand is why one person wants to see them outlawed.",5,6,topic_stance_votes_2
6,Why do you want to take my guns?,gun control,support,"The reason why ownership of guns is so fundamental to our society lies in the origins of our country. The founding fathers wanted to make sure that if our government ever became tyranical (sp?), the average joe would have the means (guns) to resist and even overthrow that government.
The founders saw the government as a necissary(sp?) evil to be limited and controlled. They knew that people not only can, but SHOULD make most decisions for themselves. They then can live with the consequences of those decisions.
After the debacle (sp?) of the Articles of Confederation, it was realized that some sort of Federal government was needed to 1) negotiate international agreements and pay national debts and 2) operate a national armed service for times of war and 3) to collect taxes to fund those lilmited objectives.",6,7,topic_stance_votes_2
7,Why do you want to take my guns?,gun control,support,"also they were aganst there being a standing army, and they wanted the people to be able to defend there homes and countyr from any attack, or to defend the Constitution of the United States against all enemies, foreign and domestic.",7,8,topic_stance_votes_2
8,Why do you want to take my guns?,gun control,attack,"So what. Congress can pass any law it wants. Doesn't mean it will stand up in court.
The first portion, ""A well regulated Militia, being necessary to the security of a free State,"" is a qualifier to what follows ""the right of the people to keep and bear Arms, shall not be infringed."" It seems pretty clear to me. But I'm not one of the Justices. This decision has been made, although I don't like it or agree with it. I don't see where today's hobbyist meets the intent - most especially in the well-regulated part. But there comes a point where what the dead guys thought just doesn't matter that much. It is 200+ years later. They left us with the ability to adjust with time and we've done that. They recognized their own shortcomings which might have the the wisest thing they did. The current interpretation is clear. We look at the last portion of the statement only. I don't think that, as I said before, a little common sense, is going to alter the interpretation in any meaningful way.
After all, I could easily argue (if I was totally stupid) that my front yard is the perfect place for a working cannon. We both know that isn't going to fly. Just where does the armament argument end. With a cannon? Or with a Nuc. Let's face it. They said arms and they meant arms. Not guns. They'd probably let me have the cannon. The founding fathers never envisioned the kind of weapons we'd have available today or what they'd be used for. That's why their thoughts are purposely criptic and open ended. Since we will always draw the line someplace, why not draw it at a good compromise between you and me.",4,9,topic_stance_votes_1
9,Why do you want to take my guns?,gun control,attack,"you had asked what i was afrade of, and that is it. it might have been shot down by the courts, but with the speed of them the guns i had turned in would have been distroyed before it was decided.
if your frount yard was big enough (twice the max. range for example) what would be the harm?",9,10,topic_stance_votes_2
10,Why do you want to take my guns?,gun control,attack,"You asked where the line should be drawn in regards to weapons?
How about where ownership and use of weapons does not violate the rights of others. 
Before you respons think about it. Do anything you want. If I don't violate anyone then what is the beef? If I don't break any laws or endanger anyone what is the beef?
The safe storage and handling of cannon, cannon propellant, and cannon ammo is well known. They can be stored in places typical of homes without violating the rights of others. BTW a cannon is not a weapon. It is considered a 'firework' by the ATF. Ever see a civil war renactment? Lots of cannons? So yes having a cannon in your front yard does fly.",9,11,topic_stance_votes_2
11,Why do you want to take my guns?,gun control,attack,"Guys, I know you feel passionately about this. Truthfully, I just think that we'd all be better off if guns weren't everywhere. It's a hobby. That's all it is. But it's a hobby that has ramifications that ripple through our whole society.
I can't change it. I know that. And I just don't have the anti-gun fervor that you think I have.
If I could wish for one thing, and only one thing, it wouldn't be gun control. But then as my son says, Wish in one hand and **** in the other. See which fills up first.",11,12,topic_stance_votes_1
12,Why do you want to take my guns?,gun control,attack,"what would it be? i would eather wish for all people to be able to setal problems non-violently, or for my famley to never have to worry about money, bepending on mu mood at the time.",12,13,topic_stance_votes_2
13,Why do you want to take my guns?,gun control,attack,Free Guns for everyone! More Guns means more Murder. And More Murder means population control. That way we wont have to resort to the satanical process of abortion!,13,14,topic_stance_votes_1
14,Why do you want to take my guns?,gun control,attack,"I've had time to think about my answer. I predicted your response.
I suppose it would be for true religious freedom. It's making a mess all over the world as well as inside the US.
As I typed my answer, I decided I really need to expand it a bit to say tolerance. A little more live and let live.",13,15,topic_stance_votes_1
