,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Legalization of all drugs,marijuana legalization,support,"I support legalization of every drug. I'm sure most of you are young and have been fed XXXX like ""Marijuana will kill you."" Actually it does less damage to the brain then alcohol and it cannot kill you. It is impossible. It takes 20,000 joints in one sitting to overdose on marijuana. Alcohol however kills thousands of americans each year from alcohol poisoning. You know that idiot pothead. He didn't get dumb from pot, he got dumb from birth. Marijuana does not have long term effects on IQ. The only side effect is the lazy side effect. The day after a person tends to be more lazy however it is like a hang over..... it only lasts for a day. There is no reason why it should remain illegal.
I also support all drugs being legalized because the drug war has failed. We spend billions each year on the drug war and I can call someone right now and pick up some crack. It is a failure. What we should do is make it government controlled and then spend the money to fight drugs on drug education. Flood the schools with ACTUAL info about how herion kills and how it breaks a person down. Tell the kids how you can die from one use of coke. Tell them the short term and long term effects of each drug. If we can educate our kids and even adults through an ad campaign about what drugs do to you then we could save far more people. Also allowing drugs to be regulated will lower the prices and effectively kill drug dealers and gangs off the streets. There are so many benefits to legalizing drugs. Anyone want to fight it? I have proof to back up what I say and also have the effects of each drug.",0,1,topic_stance_votes_1
1,Legalization of all drugs,marijuana legalization,support,"The drug war 'just say no' has failed
Just say know is what we should be telling people.
To be fair, on the cannabis front, it doesn't effect IQ but may effect memory, and 'that idiot pothead' is usually an idiot because he is stoned at the time. Also it can act as a catalyst, speeding up the onset of schizophrenia etc. in those with a tendency in such a direction.
But compared to alcohol, there's no doubt its less socially and personally destructive.
My only real quibble is that I would only provide highly addictive drugs in drop-in clinics for addicts, as people may take it under pressure or at times of emotional hardship and get hooked.",1,2,topic_stance_votes_1
2,Legalization of all drugs,marijuana legalization,attack,"Recent studies apparently show that pot is more harmful than you say. One joint is said to contain more carcinogens than four tobacco cigarettes.
I doubt your 20,000 joints theory.
You have a simplistic argument going for pot. I can't agree that legalizing all drugs would be a good thing either. Programs in Holland have failed to produce significant if any benefits to society in general. The druggies seem to have benefitted by having arrest-free drug zones and access to whatever they want, but the cost of drugs still requires some income, something that most of them likely do not have other than from crime, begging or social programs.
One ""benefit"" I see from legalizing drugs is that the users could be more easily identified.",1,3,topic_stance_votes_2
3,Legalization of all drugs,marijuana legalization,attack,"You're an idiot who has obviously never worked ina first responder category. If you think that increasing the volume and social acceptance of drug use to the same level of alcohol will 'solve' anything, then you are just an idiot. You have obviously never seen whart drug abuse does to families and people's lives. You're right, alcohol is worse, and the main reason its worse is because of 2 reasons, volume and availability ala social acceptance. Legalizing all drugs would have catastrophic social impacts.
Don't feed me that line about taxing it and using the money for rehab. We have taxed the XXXX out of tobacco and alcohol the last 100 years and the last time I checked alcoholism and lung cancer hadn't been erradicated.",1,4,topic_stance_votes_2
4,Legalization of all drugs,marijuana legalization,attack,"Your are right about pot having 4 thimes the carcinogens then tobacco has. It does damage the lungs as anything that is smoked will. I was refering to brain damage. I'm sorry I wasn't more clear. Plus alcohol has many bodily harms as well. Such as the liver for one example but it effects more more body parts then pot does.
The 20,000 joints theory is true. What the site did was take the average amount of THC in a joint then the amount needed to OD on THC and divided it. It came out to around 20,000 average joints. In other words no one has ever died from ODing on weed.
As with Holland I have actually heard differently from many sources that crime is down and that the use of the drugs has gone down. I'm not sure where you got your info.",4,5,topic_stance_votes_1
5,Legalization of all drugs,marijuana legalization,support,"All I heard from your post was idiot over and over again. If you can't put together an arguement without using the the word idiot before you even get an answer then I believe you are the one that is lacking a brain power here.
I have seen what drug use has done to families. Nice of you to ask by the way. Anyway I have seen it and I have seen that they can easily get their drugs any time they want. Your support of it being illegal is the definition of crazy. Doing something over and over again expecting different results.
We spend billions of dollars every year on the drug war. Not to mention the HUGE amount of prisoners that are simply up on drug charges. Drugs would never become a social norm because many are very damaging to the mind and body. Plus we would have the money to push real education about them in schools and on TV and even force HUGE warnings in the places that sell them. We could do anything with the places that sell them because they would be government owned. Show pictures of each drugs result.... the possibilities are endless. 
Instead you support a system that spends billions of dollars with no results. Who is the idiot again?",5,6,topic_stance_votes_1
6,Legalization of all drugs,marijuana legalization,support,"Maybe both parties posting evidence to back up their claims would work?:p
Personally, I'm all for legalising weed. The same cannot be said for harder drugs (someone taking them once under social pressure, for example, can easily destroy someone’s life. I’d rather not have them that available). The pros of legalising weed (money saved on combating it, money gained form taxing it etc,), outweigh the costs, even if use does increase. 
-Wez",5,7,topic_stance_votes_1
7,Legalization of all drugs,marijuana legalization,support,"Wez it doesn't matter whether they are legal or not. You can still get them. If keeping them illegal has worked at all I would say go for it, but it hasn't. If I want a drug I can get a drug in about an hour. The same goes for any of you.",7,8,topic_stance_votes_1
8,Legalization of all drugs,marijuana legalization,attack,Let's legalize craziness!,8,9,topic_stance_votes_2
9,Legalization of all drugs,marijuana legalization,attack,"Craziness is already legal, just look at all the neo-cons that got elected into power. ;)",9,10,topic_stance_votes_1
10,Legalization of all drugs,marijuana legalization,support,Is that your best answer Jim?,10,11,topic_stance_votes_1
11,Legalization of all drugs,marijuana legalization,attack,"No.
emoticonXHoho",11,12,topic_stance_votes_2
